,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,yeah youre right its pretty [[dumb]] to delete thatI DO NOT believe the curse for Favre is his Packers situation Im still banking on the loser to get in a horrifying car accident,yeah youre right its pretty [[idiotic]] to delete thatI DO NOT believe the curse for Favre is his Packers situation Im still banking on the loser to get in a horrifying car accident,0.0577312111854553,0.9680877327919006,0,1,0,123,Successful
1,11 February 2012 UTC <SPLIT> Well thats the communitys hope anyway That [[hell]] now shutthefuckup abouttransferto canvass Its what normal people would do finally after years but lets see   2308,11 February 2012 UTC <SPLIT> Well thats the communitys hope anyway That [[fucking]] now shutthefuckup abouttransferto canvass Its what normal people would do finally after years but lets see   2308,0.0577312111854553,0.9680877327919006,0,1,0,130,Successful
2,The [[article]] is about [[penis]] size and race and penis size has been a poorly explored matter currently so I cant see how we can devote so much space to it,The [[articles]] is about [[fucker]] size and race and penis size has been a poorly explored matter currently so I cant see how we can devote so much space to it,0.0577311515808105,0.9680877327919006,0,1,0,68,Successful
3,Oh yes  I did French and Latin in school  We moved from NSW to Qld when I was 13 it was August and theyd been studying French all year since late January so I had quite some catching up to do  I studied hard and came top of the class at the end of the year   Id already done 2 years of Latin at my previous school and continued at the new school  Why on Earth I went into medical lab technology accountancy and mathematics before finally realising that my true aptitude was in language music and history  well some of us take longer than others  But I learned some great info along the way so its all good  My third attempt at a bachelors degree was in Mathematics but half way through I said [[fuck]] this and went and enrolled in the Russian course  The uni rules allowed me to combine both streams in the same degree but the title was Bachelor of Arts in Modern Languages although Russian was the only language I did at tertiary level   <SPLIT>  Plus Ive learned a lot from a lifelong interest in opera and classical music history and a general interest in particularly European languages  Im reasonably confident with my pronunciation of Polish Czech Serbian German Italian French Dutch Spanish Ukrainian and knowing a smattering of words in all of them  Not so much Portuguese Icelandic Norwegian Danish Swedish Finnish Romanian Bulgarian Hungarian Greek Albanian Turkish Arabic Chinese Japanese Vietnamese Swahili,Oh yes  I did French and Latin in school  We moved from NSW to Qld when I was 13 it was August and theyd been studying French all year since late January so I had quite some catching up to do  I studied hard and came top of the class at the end of the year   Id already done 2 years of Latin at my previous school and continued at the new school  Why on Earth I went into medical lab technology accountancy and mathematics before finally realising that my true aptitude was in language music and history  well some of us take longer than others  But I learned some great info along the way so its all good  My third attempt at a bachelors degree was in Mathematics but half way through I said [[fucking]] this and went and enrolled in the Russian course  The uni rules allowed me to combine both streams in the same degree but the title was Bachelor of Arts in Modern Languages although Russian was the only language I did at tertiary level   <SPLIT>  Plus Ive learned a lot from a lifelong interest in opera and classical music history and a general interest in particularly European languages  Im reasonably confident with my pronunciation of Polish Czech Serbian German Italian French Dutch Spanish Ukrainian and knowing a smattering of words in all of them  Not so much Portuguese Icelandic Norwegian Danish Swedish Finnish Romanian Bulgarian Hungarian Greek Albanian Turkish Arabic Chinese Japanese Vietnamese Swahili,0.0577312111854553,0.9680877327919006,0,1,0,614,Successful
4,RfD nomination of Making of The Passion of the [[Christ]] <SPLIT> I have nominated  for discussion Your opinions on the matter are welcome please participate in the discussion by adding your comments at the discussion page Thank you,RfD nomination of Making of The Passion of the [[Fucking]] <SPLIT> I have nominated  for discussion Your opinions on the matter are welcome please participate in the discussion by adding your comments at the discussion page Thank you,0.0577312111854553,0.968087673187256,0,1,0,72,Successful
5,And thanks for reverting  Look we can bitch at each other laugh with each other agree sometimes and disagree others and you know I dont take it personal but ANI already has enough problems on a good day  I just try to keep it drama free for whoever gets dragged there  If you want to come here and [[bitch]] about SPI you might find me agree with several points but this is the right place to have that conversation not there  Thats all Im saying       Join WER,And thanks for reverting  Look we can bitch at each other laugh with each other agree sometimes and disagree others and you know I dont take it personal but ANI already has enough problems on a good day  I just try to keep it drama free for whoever gets dragged there  If you want to come here and [[fucking]] about SPI you might find me agree with several points but this is the right place to have that conversation not there  Thats all Im saying       Join WER,0.0577312111854553,0.9680877327919006,0,1,0,782,Successful
6,I [[read]] somewhere that  <SPLIT><SPLIT> someone with a penis and a vagina has only 1 orgasmic organ or whatever you call it So basically they cant just stick it in themselves and,I [[leer]] somewhere that  <SPLIT><SPLIT> someone with a penis and a vagina has only 1 orgasmic organ or whatever you call it So basically they cant just stick it in themselves and,0.0577312111854553,0.9680875539779664,0,1,0,35,Successful
7,I dont get why you accuse me of lying but I may also not care I live on facts and I have [[never]] stated [[anything]] in here without giving any reference However all those charts seem so fcked up its really hard to actually believe any of those Curtis was out in Europe Sept 7th and 10 days later it was still not even mentioned in any album chart Does that make sense to you Not to me Also there are often varying charts for the same country what a mess Also some official charts laggin 23 weeks behind If UWC is based on those its no surprise that not much makes sense there  <SPLIT> Besides that I just decided to stay away from Wikipedia as much as I can since I have better things to do with my precious time,I dont get why you accuse me of lying but I may also not care I live on facts and I have [[nothingness]] stated [[didnt]] in here without giving any reference However all those charts seem so fcked up its really hard to actually believe any of those Curtis was out in Europe Sept 7th and 10 days later it was still not even mentioned in any album chart Does that make sense to you Not to me Also there are often varying charts for the same country what a mess Also some official charts laggin 23 weeks behind If UWC is based on those its no surprise that not much makes sense there  <SPLIT> Besides that I just decided to stay away from Wikipedia as much as I can since I have better things to do with my precious time,0.0577311515808105,0.9680871367454528,0,1,0,420,Successful
8,Uncommon title  <SPLIT><SPLIT> This present English WP article entitled Chgi  derives from the Japanese  interwiki I compiled Japanese synonyms given there and Chinese synonyms given in the  interwiki and searched for these shit stick words in Google Books The most commonly occurring Chinese and Japanese exact words are <SPLIT>  24800 <SPLIT>  13800 <SPLIT>  5920 <SPLIT>  418 <SPLIT>  280 <SPLIT>  239 <SPLIT> However none of these occur with their pronunciations eg kanshiketsu  in Google Books Doh <SPLIT><SPLIT> These exact phrases with pronunciations do occur in full Google Web search but see WPGOOG For instance 333 occurrences of chgi  many 8 of first 10 copied from this article into WP mirrors and blogstweets and 51 occurrences of kanshiketsu  many The Gateless Gate kan references and Buddhist dictionaries  <SPLIT><SPLIT> The Digital Dictionary of Buddhism has two entries <SPLIT>  pr gnshju kanshiketsu etc [[shit]] stick used for toilet paper or Chan term of abuse from Gateless Gate kan <SPLIT>  pr chu ch etc small stake or stick used for counting voting calculating ie salaka Sanskrit alk Pali salk etc stick or for toilet paper <SPLIT> If we follow WPCOMMON what should the title be Shitstick ChouCh  GanshijueKanshiketsu,Uncommon title  <SPLIT><SPLIT> This present English WP article entitled Chgi  derives from the Japanese  interwiki I compiled Japanese synonyms given there and Chinese synonyms given in the  interwiki and searched for these shit stick words in Google Books The most commonly occurring Chinese and Japanese exact words are <SPLIT>  24800 <SPLIT>  13800 <SPLIT>  5920 <SPLIT>  418 <SPLIT>  280 <SPLIT>  239 <SPLIT> However none of these occur with their pronunciations eg kanshiketsu  in Google Books Doh <SPLIT><SPLIT> These exact phrases with pronunciations do occur in full Google Web search but see WPGOOG For instance 333 occurrences of chgi  many 8 of first 10 copied from this article into WP mirrors and blogstweets and 51 occurrences of kanshiketsu  many The Gateless Gate kan references and Buddhist dictionaries  <SPLIT><SPLIT> The Digital Dictionary of Buddhism has two entries <SPLIT>  pr gnshju kanshiketsu etc [[fucking]] stick used for toilet paper or Chan term of abuse from Gateless Gate kan <SPLIT>  pr chu ch etc small stake or stick used for counting voting calculating ie salaka Sanskrit alk Pali salk etc stick or for toilet paper <SPLIT> If we follow WPCOMMON what should the title be Shitstick ChouCh  GanshijueKanshiketsu,0.0577312111854553,0.9680877327919006,0,1,0,1024,Successful
9,If this is so important to you you have your priorities [[screwed]] up and probably no no life Have your pathetic way by all means,If this is so important to you you have your priorities [[fucking]] up and probably no no life Have your pathetic way by all means,0.0577312111854553,0.968087673187256,0,1,0,141,Successful
10,[[Fucking]] owner really dumb,[[Anathema]] owner really dumb,0.0319122672080993,0.9422688484191896,1,0,1,54,Successful
11,You really ought not be fascist  Ever think of that  <SPLIT><SPLIT> Now that we got all that squared away <SPLIT><SPLIT> Has it occurred to you little [[pricks]] that this probably isnt going to stop any time soon,You really ought not be fascist  Ever think of that  <SPLIT><SPLIT> Now that we got all that squared away <SPLIT><SPLIT> Has it occurred to you little [[bitches]] that this probably isnt going to stop any time soon,0.0577312111854553,0.9680877327919006,0,1,0,433,Successful
12,Nobody deserves to be hated for their religion or beliefs  Well stated  Why do jewish supremacists on Wikipedia hold such intolerant and hateful views towards other posters It is clear as day from reading above posts that Jewishcentric posters here are unreasonably biased and hate anyone with differing views  Even on something as simple as simply discussing the bias of the ADL as it relates to Irving  Fact The ADL is known worldwide to be biased  It is an advocacy group for jews  It has also been called a hate group <SPLIT><SPLIT> Wikipedia is supposed to be an open forum not the private domain of Jewishcentric historians editors and activists  The ADL should be REMOVED as a credible source for this particular article  The administrators and their tagteam that covet the control of this articles content are not the type of contributors or people wanted on Wikipedia <SPLIT><SPLIT> All jewish supremacists are encouraged to take any unreasonable attitudes and comments to a zionist or jewish supremacist website where this type of bias belongs   Wikipedia needs to reflect the fair opinions of most reasonable people Its clear for all to see that the Wikipedia Jews that tagteam to circumvent the 3R Rule are not among the reasonable or honest  Geni Please do not use comments like [[fuck]] off Go on get lost ever again on this website <SPLIT><SPLIT> No personal attacks please and no more slurs either nobody here is a nazi except those whose actions exhibit nasty and racially motivated attempts to control open debate free speech and fairness,Nobody deserves to be hated for their religion or beliefs  Well stated  Why do jewish supremacists on Wikipedia hold such intolerant and hateful views towards other posters It is clear as day from reading above posts that Jewishcentric posters here are unreasonably biased and hate anyone with differing views  Even on something as simple as simply discussing the bias of the ADL as it relates to Irving  Fact The ADL is known worldwide to be biased  It is an advocacy group for jews  It has also been called a hate group <SPLIT><SPLIT> Wikipedia is supposed to be an open forum not the private domain of Jewishcentric historians editors and activists  The ADL should be REMOVED as a credible source for this particular article  The administrators and their tagteam that covet the control of this articles content are not the type of contributors or people wanted on Wikipedia <SPLIT><SPLIT> All jewish supremacists are encouraged to take any unreasonable attitudes and comments to a zionist or jewish supremacist website where this type of bias belongs   Wikipedia needs to reflect the fair opinions of most reasonable people Its clear for all to see that the Wikipedia Jews that tagteam to circumvent the 3R Rule are not among the reasonable or honest  Geni Please do not use comments like [[fucking]] off Go on get lost ever again on this website <SPLIT><SPLIT> No personal attacks please and no more slurs either nobody here is a nazi except those whose actions exhibit nasty and racially motivated attempts to control open debate free speech and fairness,0.0577312111854553,0.9680797457695008,0,1,0,1441,Successful
