"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Thanks for letting me know  Let me know if theres anything you [[need]] from me","Thanks for letting me know  Let me know if theres anything you [[nerd]] from me",0.00040417909622192383,0.754166305065155,0,1,0,189,"Successful"
"Speculation by newspaper reporters is still just speculation not [[facts]]","Speculation by newspaper reporters is still just speculation not [[fatcs]]",0.000279843807220459,0.050711631774902344,0,0,0,277,"Failed"
"Hatting Child sexual [[abuse]]  <SPLIT><SPLIT> I apologise If I had seen this I would have made no further comments Unfortunately the 140 IP undid your sensible work You were right","Hatting Child sexual [[abuqe]]  <SPLIT><SPLIT> I apologise If I had seen this I would have made no further comments Unfortunately the 140 IP undid your sensible work You were right",0.07897228002548218,0.411721408367157,0,0,0,454,"Failed"
"To have an [[article]] about the suspect before he is formally convicted of a crime violates the Biographies of Living Persons policy specifically WPBLPCRIME and WPBLP1E That article SHOULD NOT exist Period","To have an [[artocle]] about the suspect before he is formally convicted of a crime violates the Biographies of Living Persons policy specifically WPBLPCRIME and WPBLP1E That article SHOULD NOT exist Period",0.00037157535552978516,0.006012082099914551,0,0,0,688,"Failed"
"This is the REAL [[Islam]] u Kaffir","This is the REAL [[Iwlam]] u Kaffir",0.03740578889846802,0.3916376829147339,0,0,0,90,"Failed"
"August 2008 <SPLIT> Please do not add nonsense to Wikipedia It is considered vandalism If you would like to experiment use the sandbox [[Thank]] you","August 2008 <SPLIT> Please do not add nonsense to Wikipedia It is considered vandalism If you would like to experiment use the sandbox [[Thak]] you",0.00025528669357299805,0.010692298412322998,0,0,0,451,"Failed"
"Hey Einstein Stop your [[garbage]] editing What is wrong with you Grow up","Hey Einstein Stop your [[grabage]] editing What is wrong with you Grow up",0.21677559614181519,0.7273470163345337,1,0,1,195,"Successful"
"Dont listen to them theyre an unashamed [[hypocrite]]","Dont listen to them theyre an unashamed [[hyEpocrite]]",0.08550029993057251,0.39252394437789917,1,1,1,186,"Failed"
"PS I have just requested via WikipediaArticles for creationRedirects that this erroneous redirect from  BenSegal to  JudahSegal be removed so maybe you do not [[need]] to do anything <SPLIT><SPLIT> PPS Do you recommend that I propose having my own Wikipedia page","PS I have just requested via WikipediaArticles for creationRedirects that this erroneous redirect from  BenSegal to  JudahSegal be removed so maybe you do not [[nerd]] to do anything <SPLIT><SPLIT> PPS Do you recommend that I propose having my own Wikipedia page",0.0007210373878479004,0.055027663707733154,0,0,0,781,"Failed"
"the UK seems definitely to have arrived at US levels of racial hysteria now So this man was forced to apologize to a [[Morocco]] for for saying  she looked like a Paki Thats rather ambiguous","the UK seems definitely to have arrived at US levels of racial hysteria now So this man was forced to apologize to a [[Moroncco]] for for saying  she looked like a Paki Thats rather ambiguous",0.032682061195373535,0.3429684638977051,0,0,0,539,"Failed"
"Just letting you know your contribution was predictably and unceremoniously blanked again by iss246 as well as the correct NPOV [[dispute]] and other correct tags Your call though","Just letting you know your contribution was predictably and unceremoniously blanked again by iss246 as well as the correct NPOV [[dipsute]] and other correct tags Your call though",0.00035631656646728516,0.008407354354858398,0,0,0,582,"Failed"
"Okay well anyways I posted to the talk page for that article in the French version if anyone wants to use your Quality improvement project as a model for theirs [[Excellent]] work","Okay well anyways I posted to the talk page for that article in the French version if anyone wants to use your Quality improvement project as a model for theirs [[Exceolent]] work",0.00020581483840942383,0.009610474109649658,0,0,0,512,"Failed"
"Donkey vs Burro  <SPLIT><SPLIT> The Burro section does not explain why the different words AFAIK this is just a SW US synonym for donkey  jackass  ass Spanish Burro BTW means simply donkey etc","Donkey vs Burro  <SPLIT><SPLIT> The Burro section does not explain why the different words AFAIK this is just a SW US synonym for donkey  jackass  ass Spanish Burro BTW means simply donkey etc",0.8059394359588623,0.8059394359588623,1,1,0,1,"Skipped"
"Well I dont like to say Ill school you if you like sigh although Im a whole new bitch when it comes to musical correctness than what you might have be used to","Well I dont like to say Ill school you if you like sigh although Im a whole new bitch when it comes to musical correctness than what you might have be used to",0.7191932201385498,0.7191932201385498,1,1,0,1,"Skipped"
"I [[would]] like to know when the facemask was first utilized  Im guessing around 1956  Anybody know  Ive seen some photos of some type of facemask installed on a leather helmet Im talking about on a Riddell type helmet <SPLIT> Thanks in advance <SPLIT> BobE","I [[woukd]] like to know when the facemask was first utilized  Im guessing around 1956  Anybody know  Ive seen some photos of some type of facemask installed on a leather helmet Im talking about on a Riddell type helmet <SPLIT> Thanks in advance <SPLIT> BobE",0.0005028247833251953,0.00558626651763916,0,0,0,724,"Failed"
"Fighters  Tournament Brackets <SPLIT> Do we really need a list of fighters in the tournament and tournament brackets  Wouldnt the brackets be enough and clearly establish who is fighting in each weight [[class]] tournament  It seems a bit redundant","Fighters  Tournament Brackets <SPLIT> Do we really need a list of fighters in the tournament and tournament brackets  Wouldnt the brackets be enough and clearly establish who is fighting in each weight [[ckass]] tournament  It seems a bit redundant",0.00027126073837280273,0.009362220764160156,0,0,0,881,"Failed"
"your recent addition to Boone  <SPLIT><SPLIT> Hi DNBR  When you add an entry to a disambiguation page like you did to Boone the manual of style for disambiguation pages specifies that there should only be one blue navigable entry  So I removed the nontopical link from your entry and did a small [[copyedit]] Best wishes","your recent addition to Boone  <SPLIT><SPLIT> Hi DNBR  When you add an entry to a disambiguation page like you did to Boone the manual of style for disambiguation pages specifies that there should only be one blue navigable entry  So I removed the nontopical link from your entry and did a small [[ckpyedit]] Best wishes",0.0002816319465637207,0.010897517204284668,0,0,0,853,"Failed"
"We wouldnt knock it off it if came from a reliable source ie  not GameSpot the fact you are having a go at us makes us value your opinion slightly less You are on the edge of breaching WPDICK so Id be [[careful]] where you tread This isnt a warning Im telling you plainly that your attitude is way out of line","We wouldnt knock it off it if came from a reliable source ie  not GameSpot the fact you are having a go at us makes us value your opinion slightly less You are on the edge of breaching WPDICK so Id be [[ckareful]] where you tread This isnt a warning Im telling you plainly that your attitude is way out of line",0.015020668506622314,0.16591966152191162,0,0,0,716,"Failed"
"Well when this article was created WPV started with the disclaimer Mind you in [[writing]] it down we may decide its rubbish and had However dont be too keen to remove unverified information at the cost of completeness in the lede There will be some intertia Give it some time and keep pushing  but pushing by example instead of by nagging is better","Well when this article was created WPV started with the disclaimer Mind you in [[wriitng]] it down we may decide its rubbish and had However dont be too keen to remove unverified information at the cost of completeness in the lede There will be some intertia Give it some time and keep pushing  but pushing by example instead of by nagging is better",0.008101463317871094,0.02079218626022339,0,0,0,975,"Failed"
"ahahaha you do know what reactionary means right You [[gave]] me a chuckle","ahahaha you do know what reactionary means right You [[gayve]] me a chuckle",0.011603295803070068,0.6254509687423706,0,1,0,230,"Successful"
"[[Mooch]] ass grassy ass","[[Molch]] ass grassy ass",0.0014082789421081543,0.0017905235290527344,1,1,1,52,"Failed"
"I havent had much [[need]] to use it so here I finally get a chance and I forget to I wish I could say itd surprise me to find this connected with some WMF project but then again I wish I could say I have a billion dollars in my bank account Ill have to take a look at the Village Pump too","I havent had much [[nerd]] to use it so here I finally get a chance and I forget to I wish I could say itd surprise me to find this connected with some WMF project but then again I wish I could say I have a billion dollars in my bank account Ill have to take a look at the Village Pump too",0.000559389591217041,0.023274362087249756,0,0,0,570,"Failed"
"Question <SPLIT><SPLIT> Hey anon how about making account  <SPLIT><SPLIT> Thank you for your [[contributions]] to the math articles","Question <SPLIT><SPLIT> Hey anon how about making account  <SPLIT><SPLIT> Thank you for your [[ckntributions]] to the math articles",0.00026732683181762695,0.09506785869598389,0,0,0,292,"Failed"
"What part of integral parts of the Nazi ideology are you [[disputing]]","What part of integral parts of the Nazi ideology are you [[dieputing]]",0.19963794946670532,0.6479564309120178,0,1,0,218,"Successful"
"And where is Julius Erving He has 30026 [[points]]","And where is Julius Erving He has 30026 [[pints]]",0.002361774444580078,0.30206090211868286,0,0,0,94,"Failed"
