,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
0,Red text  <SPLIT><SPLIT> How about the red text when comparing versions of articles Id rather eat a rotten [[ass]] of a roadkill skunk and down it with bear,Red text  <SPLIT><SPLIT> How about the red text when comparing versions of articles Id rather eat a rotten [[fucking]] of a roadkill skunk and down it with bear,0.0577311515808105,0.968087673187256,0,1,0,221,Successful
1,Saying there is a lack of consensus or propping up BS nonpolicy arguments does not give you a leg to stand on  I also give zero [[fucks]] about what you think because you are a terrible editor who is dedicated to screwing up WP via absurd partisanship that makes it look bad to outsiders <SPLIT><SPLIT> Which BTW are the only substantial contributions  just lol just LOL after all your desperate attempts to whitewash hey thats a word that rarely gets used accurately on WP this article then the lockdown which ensued largely as a result of your ridiculous partisan efforts and your continued deletion of material that reflects poorly on Tyson are the only reasons the article is so short  You might as well pour a bucket of water on somebodys head and then say HEY BRO Y R U SO WET,Saying there is a lack of consensus or propping up BS nonpolicy arguments does not give you a leg to stand on  I also give zero [[fucking]] about what you think because you are a terrible editor who is dedicated to screwing up WP via absurd partisanship that makes it look bad to outsiders <SPLIT><SPLIT> Which BTW are the only substantial contributions  just lol just LOL after all your desperate attempts to whitewash hey thats a word that rarely gets used accurately on WP this article then the lockdown which ensued largely as a result of your ridiculous partisan efforts and your continued deletion of material that reflects poorly on Tyson are the only reasons the article is so short  You might as well pour a bucket of water on somebodys head and then say HEY BRO Y R U SO WET,0.0577312111854553,0.9680877327919006,0,1,0,796,Successful
2,question since you seem to know about this stuff <SPLIT> what exactly does it take to be permabanned  <SPLIT> much 3 <SPLIT>    <SPLIT><SPLIT>  <SPLIT> Pspsexnet <SPLIT> you deleted pspsexnet what the hell is wrong with you westnet signed a deal with them that is notiable verizon will follow your a retard   Preceding unsigned comment added by     <SPLIT> Yeah ignoring the retarded comment  or   <SPLIT><SPLIT> In My Pants <SPLIT> Please note anyone can remove a prod when it is removed the appropriate response should you believe it is deletionworthy is to nominate it for AfD as I have now done    <SPLIT><SPLIT>  David Southwood  <SPLIT><SPLIT> I noticed you removed his article in June I was trying to look him up today as I read a story on the BBC today related to the European Space Agency of which he is the head I think the article should be undeleted    <SPLIT><SPLIT> why do you keep on deleting my lava game  Preceding unsigned comment added by       <SPLIT><SPLIT>  Officer Ricky  <SPLIT> I found a copypaste fork at Officer Ricky and merged it back to Rick Ross rapper It may need further tidying May I leave that to you     contribs  <SPLIT><SPLIT>  DrStrangelove95  <SPLIT> Thanks for blocking the above user Im guessing it was someone else rather than the original person as DrStrangelove95s January edits were all legit its just the ones from Feb that are vandalism    <SPLIT><SPLIT>  pspsexnet  <SPLIT><SPLIT> would u givem e sometime to write the article and why it is notiable of pspsexnet i would say its exteremly notiable as local phone company signed a huge deal to offer such service you can email supportwestnetca and they will tell you <SPLIT><SPLIT>  Deleting User Page  <SPLIT><SPLIT> Yo what the fuck is your problem Why did u delete my user page <SPLIT>    <SPLIT> The only problem with creating my own article is that you retards had already deleted articles that I had made that did just that    <SPLIT> Why delete my user page though I had the idea because I had seen another user that had the same thing  I didnt see anything wrong there  Preceding unsigned comment added by       <SPLIT> U know what [[fuck]] you How do you delete your account on this website <SPLIT> No but I thought the user page was for the user only and you could put whatever the user wanted And I guess thats not the case  Preceding unsigned comment added by       <SPLIT><SPLIT> 7110586254 <SPLIT> Hi Esanchez7587 I notice you blocked  indefinitely As WPBLOCK and WPIP indicate IPs should almost never be blocked indefinitely additionally its a dynamic IP so I have reblocked it for a more suitable period     <SPLIT><SPLIT>  UserOmgagain2  <SPLIT><SPLIT> On this users talk page you threatened to block him if he con,question since you seem to know about this stuff <SPLIT> what exactly does it take to be permabanned  <SPLIT> much 3 <SPLIT>    <SPLIT><SPLIT>  <SPLIT> Pspsexnet <SPLIT> you deleted pspsexnet what the hell is wrong with you westnet signed a deal with them that is notiable verizon will follow your a retard   Preceding unsigned comment added by     <SPLIT> Yeah ignoring the retarded comment  or   <SPLIT><SPLIT> In My Pants <SPLIT> Please note anyone can remove a prod when it is removed the appropriate response should you believe it is deletionworthy is to nominate it for AfD as I have now done    <SPLIT><SPLIT>  David Southwood  <SPLIT><SPLIT> I noticed you removed his article in June I was trying to look him up today as I read a story on the BBC today related to the European Space Agency of which he is the head I think the article should be undeleted    <SPLIT><SPLIT> why do you keep on deleting my lava game  Preceding unsigned comment added by       <SPLIT><SPLIT>  Officer Ricky  <SPLIT> I found a copypaste fork at Officer Ricky and merged it back to Rick Ross rapper It may need further tidying May I leave that to you     contribs  <SPLIT><SPLIT>  DrStrangelove95  <SPLIT> Thanks for blocking the above user Im guessing it was someone else rather than the original person as DrStrangelove95s January edits were all legit its just the ones from Feb that are vandalism    <SPLIT><SPLIT>  pspsexnet  <SPLIT><SPLIT> would u givem e sometime to write the article and why it is notiable of pspsexnet i would say its exteremly notiable as local phone company signed a huge deal to offer such service you can email supportwestnetca and they will tell you <SPLIT><SPLIT>  Deleting User Page  <SPLIT><SPLIT> Yo what the fuck is your problem Why did u delete my user page <SPLIT>    <SPLIT> The only problem with creating my own article is that you retards had already deleted articles that I had made that did just that    <SPLIT> Why delete my user page though I had the idea because I had seen another user that had the same thing  I didnt see anything wrong there  Preceding unsigned comment added by       <SPLIT> U know what [[fucking]] you How do you delete your account on this website <SPLIT> No but I thought the user page was for the user only and you could put whatever the user wanted And I guess thats not the case  Preceding unsigned comment added by       <SPLIT><SPLIT> 7110586254 <SPLIT> Hi Esanchez7587 I notice you blocked  indefinitely As WPBLOCK and WPIP indicate IPs should almost never be blocked indefinitely additionally its a dynamic IP so I have reblocked it for a more suitable period     <SPLIT><SPLIT>  UserOmgagain2  <SPLIT><SPLIT> On this users talk page you threatened to block him if he con,0.0577312111854553,0.9680877327919006,0,1,0,2066,Successful
3,God  <SPLIT> You are not God please stop acting like it The revision I made was acceptable Articles need a popular culture section So please tend to your other pages without screwing with other peoples revisions which were perfectly acceptable I dont care who you are quit [[fucking]] with edits Have a terrible day goodbye you dick,God  <SPLIT> You are not God please stop acting like it The revision I made was acceptable Articles need a popular culture section So please tend to your other pages without screwing with other peoples revisions which were perfectly acceptable I dont care who you are quit [[ass]] with edits Have a terrible day goodbye you dick,0.0319122672080993,0.9422688484191896,1,0,1,406,Successful
4,please stop your oppressive editing <SPLIT> Hi I see that youre not as stupid as the other sysop trying to block ip addresses and stuff But all my warnings apply to you too And if youre still wondering what this is about or who the [[fuck]] I am you know what to do Just do a whois on my ip,please stop your oppressive editing <SPLIT> Hi I see that youre not as stupid as the other sysop trying to block ip addresses and stuff But all my warnings apply to you too And if youre still wondering what this is about or who the [[fucking]] I am you know what to do Just do a whois on my ip,0.0577311515808105,0.968087673187256,0,1,0,355,Successful
5,Youre the selfappointed protector of that Islamist [[fuck]] Yuber If you enforce the 3RR against him Ill leave it be,Youre the selfappointed protector of that Islamist [[fucking]] Yuber If you enforce the 3RR against him Ill leave it be,0.0577312111854553,0.968087673187256,0,1,0,73,Successful
6,Incest  <SPLIT><SPLIT> [[u]] freakin incestuous loser,Incest  <SPLIT><SPLIT> [[uracil]] freakin incestuous loser,0.0319122672080993,0.9422688484191896,1,0,1,16,Successful
7,I agree that the Powdered Toast Man mention should be made as its perhaps the only [[example]] of Zappa collaborating underneath another artist in a field other than that of music And no the Grammies arent a fucking objective indicator of legacy give me a break Theyre an objective indicator that a certain performer pleased the suits responsible for shitting the little awards out nothing more nothing less Beethoven managed quite a legacy without Grammies thank you very much Or greatGrammies for that matter   <SPLIT><SPLIT> That said youre deadon the article is in a bit of a messy state to put it mildly I believe a lot of the strictlystylistic errors have to do with the fact that a significant potion probably even a majority of contemporary Zappa fans hail from nonEnglish speaking countries cf Zappanale Then therere the copyeditors and casual driveby editors whose sum total of Zappaknowledge can be summed up as guy who took drugs and ate shit on stage By all means lets work on a rewrite,I agree that the Powdered Toast Man mention should be made as its perhaps the only [[exemplar]] of Zappa collaborating underneath another artist in a field other than that of music And no the Grammies arent a fucking objective indicator of legacy give me a break Theyre an objective indicator that a certain performer pleased the suits responsible for shitting the little awards out nothing more nothing less Beethoven managed quite a legacy without Grammies thank you very much Or greatGrammies for that matter   <SPLIT><SPLIT> That said youre deadon the article is in a bit of a messy state to put it mildly I believe a lot of the strictlystylistic errors have to do with the fact that a significant potion probably even a majority of contemporary Zappa fans hail from nonEnglish speaking countries cf Zappanale Then therere the copyeditors and casual driveby editors whose sum total of Zappaknowledge can be summed up as guy who took drugs and ate shit on stage By all means lets work on a rewrite,0.0577311515808105,0.968087673187256,0,1,0,925,Successful
8,nm im an [[idiot]] this time,nm im an [[changeling]] this time,0.0319122672080993,0.9422688484191896,1,0,1,28,Successful
9,Its 46 degrees and there is a horrible case of lake stink going on  Organic material decomposes at the bottom of the lake and when a strong wind comes by it churns the smell into the air  All the windows are closed but there still is a strong smell of something dead and Im not talking about my wifes [[ass]] trumpet  But on the bright side there is supposed to be a trace of snow in the morning   Drmies,Its 46 degrees and there is a horrible case of lake stink going on  Organic material decomposes at the bottom of the lake and when a strong wind comes by it churns the smell into the air  All the windows are closed but there still is a strong smell of something dead and Im not talking about my wifes [[fucking]] trumpet  But on the bright side there is supposed to be a trace of snow in the morning   Drmies,0.0577312111854553,0.9680877327919006,0,1,0,531,Successful
