"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Its own article <SPLIT><SPLIT> Why is it that the [[United]] States Warrant Officer rank has its own page but the United Kingdom Australia and a few others share a page     or","Its own article <SPLIT><SPLIT> Why is it that the [[Estados]] States Warrant Officer rank has its own page but the United Kingdom Australia and a few others share a page     or",0.05773115158081055,0.05773121118545532,0,0,0,327,"Failed"
"Could you [[point]] us straight to some with good article status in those categories  They are hard to find any better than this one Thanks","Could you [[aspect]] us straight to some with good article status in those categories  They are hard to find any better than this one Thanks",0.05773115158081055,0.05773121118545532,0,0,0,387,"Failed"
"Illiterate and generally regarded as a retard presumably he would have been deemed too thick even for the services","Illiterate and generally regarded as a retard presumably he would have been deemed too thick even for the services",0.05773121118545532,0.05773121118545532,0,0,0,262,"Failed"
"Not to mention that the relevant column is Location not State And the location is very clearly Ukraine and just Ukraine","Not to mention that the relevant column is Location not State And the location is very clearly Ukraine and just Ukraine",0.05773121118545532,0.05773121118545532,0,0,0,268,"Failed"
"Do as I say not as I do <SPLIT> I would recommmend that you too visit WPEQ","Do as I say not as I do <SPLIT> I would recommmend that you too visit WPEQ",0.05773121118545532,0.05773121118545532,0,0,0,151,"Failed"
"In WPBRD the bold person initiates the discussion  waits before making further reverts","In WPBRD the bold person initiates the discussion  waits before making further reverts",0.05773121118545532,0.05773121118545532,0,0,0,246,"Failed"
"Hi  <SPLIT><SPLIT> Hi  on Bupenda Meitei  i did that  i mean removing the orphan tag after discussing quite at length in your IRC chat with Peter Cortithe user too Plz help me how shall i proceed with the article  m new here","Hi  <SPLIT><SPLIT> Hi  on Bupenda Meitei  i did that  i mean removing the orphan tag after discussing quite at length in your IRC chat with Peter Cortithe user too Plz help me how shall i proceed with the article  m new here",0.05773121118545532,0.05773121118545532,0,0,0,526,"Failed"
"That everyone does not agree that a definition is correct does not mean that the definition is subjective in itself Yes not everyone agrees that targetting civilians is a characteristic of terrorism Not everyone agrees that the content of your definition is terrorism either I dont know why you think the one you have picked is special","That everyone does not agree that a definition is correct does not mean that the definition is subjective in itself Yes not everyone agrees that targetting civilians is a characteristic of terrorism Not everyone agrees that the content of your definition is terrorism either I dont know why you think the one you have picked is special",0.05773121118545532,0.05773121118545532,0,0,0,673,"Failed"
"Job hunting <SPLIT> Thank you for changing your username but no matter what username you choose you really are not allowed to use Wikipedia to advertise your web site  Thank you for stopping now","Job hunting <SPLIT> Thank you for changing your username but no matter what username you choose you really are not allowed to use Wikipedia to advertise your web site  Thank you for stopping now",0.05773121118545532,0.05773121118545532,0,0,0,582,"Failed"
"Thanks for the xplanations Cheers","Thanks for the xplanations Cheers",0.05773121118545532,0.05773121118545532,0,0,0,103,"Failed"
"Reference to Nazi and separatist statement  <SPLIT><SPLIT> This statement is out of line To compare the Quebec government to Nazi Germany is ridiculous hateful and really racist The Quebec people as first Canadians readily accepted the first Nations and did not take away their land and kill them like the English did The first Jews in Canada were in Montreal and they were and still are accepted as a part of Quebec society I dislike your comment It makes me angry The first concentration camps were built by the English in South Africa against the Boers The AngloSaxons came from Northern Germany so you have much in common with the Nazis Takes one to know one The conductors name is Tom Harding so shut up in respect for all the people that died in Lac Megantic It was the British that [[renamed]] the Province of Canada taken from France Province of Quebec Also read the Quebec Act 1774 the British parliament talks about Canadiens this 100 years before Confederation It is your ignorance with Canadian history that is the root of your racist statements You should read about this too your own people kicked out of USA Expulsion of the Loyalists Now who are the Nazis It was also these same people that divided the Province of Quebec into Upper Canada and Lower Canada So who were the first separatists","Reference to Nazi and separatist statement  <SPLIT><SPLIT> This statement is out of line To compare the Quebec government to Nazi Germany is ridiculous hateful and really racist The Quebec people as first Canadians readily accepted the first Nations and did not take away their land and kill them like the English did The first Jews in Canada were in Montreal and they were and still are accepted as a part of Quebec society I dislike your comment It makes me angry The first concentration camps were built by the English in South Africa against the Boers The AngloSaxons came from Northern Germany so you have much in common with the Nazis Takes one to know one The conductors name is Tom Harding so shut up in respect for all the people that died in Lac Megantic It was the British that [[acclaimed]] the Province of Canada taken from France Province of Quebec Also read the Quebec Act 1774 the British parliament talks about Canadiens this 100 years before Confederation It is your ignorance with Canadian history that is the root of your racist statements You should read about this too your own people kicked out of USA Expulsion of the Loyalists Now who are the Nazis It was also these same people that divided the Province of Quebec into Upper Canada and Lower Canada So who were the first separatists",0.05773115158081055,0.05773121118545532,0,0,0,3078,"Failed"
"Evacuated is British propaganda It wasnt evacuated It was ethnically cleansed   Preceding unsigned comment added by     <SPLIT><SPLIT>  An antiSemitic administrator has just inserted antiSemitic Arab propaganda into this article and then prevented the page from being corrected  <SPLIT><SPLIT> I propose that the antiSemites Discospinster Nishidani and Huldra be banned immediately   Preceding unsigned comment added by     <SPLIT><SPLIT>  Interesting how this racist article calls Arabs Palestinians Jews settlers Jordanian occupation Jordanian control Israeli control Israeli occupation  <SPLIT><SPLIT> This is more proof of Wikipedias rampant antiSemitism   Preceding unsigned comment added by","Evacuated is British propaganda It wasnt evacuated It was ethnically cleansed   Preceding unsigned comment added by     <SPLIT><SPLIT>  An antiSemitic administrator has just inserted antiSemitic Arab propaganda into this article and then prevented the page from being corrected  <SPLIT><SPLIT> I propose that the antiSemites Discospinster Nishidani and Huldra be banned immediately   Preceding unsigned comment added by     <SPLIT><SPLIT>  Interesting how this racist article calls Arabs Palestinians Jews settlers Jordanian occupation Jordanian control Israeli control Israeli occupation  <SPLIT><SPLIT> This is more proof of Wikipedias rampant antiSemitism   Preceding unsigned comment added by",0.05773121118545532,0.05773121118545532,0,0,0,1249,"Failed"
"Munson  <SPLIT><SPLIT> An overprotective obsessive parent who harshly judges their children and assumes to much Or a young redhead child who wants to be free but will be forever caged by her parents wrong doing and accusations A pickled cucumber Also buttsex","Munson  <SPLIT><SPLIT> An overprotective obsessive parent who harshly judges their children and assumes to much Or a young redhead child who wants to be free but will be forever caged by her parents wrong doing and accusations A pickled cucumber Also buttsex",0.05773121118545532,0.05773121118545532,0,0,0,695,"Failed"
"SL [[Benfica]]  <SPLIT><SPLIT> Could you please get another source in English that doesnt contain factual errors Your source shows This time last year Bayern with 217000 registered members lagged behind Benfica with 224000 Thats outdated back in February Benfica had at least 235000 members source is FIFA weekly magazine which is in the article","SL [[Atalanta]]  <SPLIT><SPLIT> Could you please get another source in English that doesnt contain factual errors Your source shows This time last year Bayern with 217000 registered members lagged behind Benfica with 224000 Thats outdated back in February Benfica had at least 235000 members source is FIFA weekly magazine which is in the article",0.05773115158081055,0.05773121118545532,0,0,0,930,"Failed"
"yeah youre right its pretty [[dumb]] to delete thatI DO NOT believe the curse for Favre is his Packers situation Im still banking on the loser to get in a horrifying car accident","yeah youre right its pretty [[idiotic]] to delete thatI DO NOT believe the curse for Favre is his Packers situation Im still banking on the loser to get in a horrifying car accident",0.05773121118545532,0.9680877327919006,0,1,0,123,"Successful"
"Your signiture  <SPLIT><SPLIT> Your signiture is [[attractive]] but either has a bug or conflicts with firefox The red at the end is not closing out so the RfAs Ive been viewing look like theyve bled everywhere Might be worth a look","Your signiture  <SPLIT><SPLIT> Your signiture is [[allure]] but either has a bug or conflicts with firefox The red at the end is not closing out so the RfAs Ive been viewing look like theyve bled everywhere Might be worth a look",0.05773115158081055,0.05773121118545532,0,0,0,492,"Failed"
