"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Speedy deletion of Gallas <SPLIT>  A tag has been placed on Gallas requesting that it be speedily deleted from Wikipedia per speedy deletion criterion G1  <SPLIT><SPLIT> Under the criteria for speedy deletion articles that do not meet basic Wikipedia criteria may be deleted at any time Please see the guidelines for what is generally accepted as an appropriate article and if you can indicate why the subject of this article is appropriate you may contest the tagging To do this add  on the top of the article and leave a note on the articles talk page explaining your position Please do not remove the speedy deletion tag yourself but dont hesitate to add information to the article that would confirm its subjects notability under the guidelines  <SPLIT><SPLIT> If you think that this notice was placed here in error you may contest the deletion by adding  to the top of the article just below the existing speedy deletion or db tag coupled with adding a note on the articles talk page explaining your position but be aware that once tagged for speedy deletion if the article meets the criterion it may be deleted without delay Please do not remove the speedy deletion tag yourself but dont hesitate to add information to the article that would would render it more in conformance with Wikipedias policies and guidelines","Speedy deletion of Gallas <SPLIT>  A tag has been placed on Gallas requesting that it be speedily deleted from Wikipedia per speedy deletion criterion G1  <SPLIT><SPLIT> Under the criteria for speedy deletion articles that do not meet basic Wikipedia criteria may be deleted at any time Please see the guidelines for what is generally accepted as an appropriate article and if you can indicate why the subject of this article is appropriate you may contest the tagging To do this add  on the top of the article and leave a note on the articles talk page explaining your position Please do not remove the speedy deletion tag yourself but dont hesitate to add information to the article that would confirm its subjects notability under the guidelines  <SPLIT><SPLIT> If you think that this notice was placed here in error you may contest the deletion by adding  to the top of the article just below the existing speedy deletion or db tag coupled with adding a note on the articles talk page explaining your position but be aware that once tagged for speedy deletion if the article meets the criterion it may be deleted without delay Please do not remove the speedy deletion tag yourself but dont hesitate to add information to the article that would would render it more in conformance with Wikipedias policies and guidelines",0.00024884939193725586,0.00024884939193725586,0,0,0,1,"Failed"
"Any one need cheapest game money plz come to wwwgold2wowcom its the bestthxAny one need cheapest game money plz come to wwwgold2wowcom its the bestthxAny one need cheapest game money plz come to wwwgold2wowcom its the bestthxAny one need cheapest game money plz come to wwwgold2wowcom its the bestthxAny one need cheapest game money plz come to wwwgold2wowcom its the bestthxAny one need cheapest game money plz come to wwwgold2wowcom its the bestthx","Any one need cheapest game money plz come to wwwgold2wowcom its the bestthxAny one need cheapest game money plz come to wwwgold2wowcom its the bestthxAny one need cheapest game money plz come to wwwgold2wowcom its the bestthxAny one need cheapest game money plz come to wwwgold2wowcom its the bestthxAny one need cheapest game money plz come to wwwgold2wowcom its the bestthxAny one need cheapest game money plz come to wwwgold2wowcom its the bestthx",0.021624743938446045,0.021624743938446045,0,0,0,1,"Failed"
"Conwall from which Cornish originates is a singular county region within England Wales is a Country and neither a County or region within England There are more speakers of Pakistani Urdu Punjabi etc than either Welsh or Cornish speakers To include Welsh as a regional language you woukd also have to list those as well    <SPLIT><SPLIT> Of course near a country border there will be an overspill of one countrys languages into anotheroverspill So people spoke English in Oswestry before they spoke Welsh Welsh has been a regional language of England At one time is was widely spoken in the Marches in addition to other Brittonic languages such as Cumbric and Cornish in their respective areas How can you say Welsh isnt a regional language while Cornish is simply because the areas where it is natively spoken are near another country where it is significantly more predominant Welsh is a native language of England unlike migrant languages I accept most of the 8000 Welsh speakers in England are probably from Wales but a significant amount will be native English people in the border counties like I said where there is significant mixed heritage    <SPLIT> The figure of 110000 is an estimate of those who could at an earlier time speak Welsh Not all of them would still consider themselves able to speak Welsh  Many people born in Wales and all those taught in Wales in recent years would have learned to speak at least some Welsh  That does not mean they are Welsh speakers now  The claims by  that Welsh is spoken by more native English in border communities then Cornish Places like Oswestry still have significant numbers of Welsh speakers  need a good source  And the fact is that Welsh is not an officially recognised regional language in any part of England   though Cornish is      <SPLIT> Absolutelyas the writers of the report acknowledge and I myself noted above 110000 is bound to be an overestimate but 8248 is just as likely to be an underestimate In any case as I noted again I agree that Welsh almost certainly shouldnt be listed in the article as a regional language The point is not of course how many speakers it has it has more than Cornish however you count it but whether or not it is officially recognised as a regional language or is spoken by a substantial community of people who werent born in Wales The first isnt the case and we need a good source for the second Unfortunately Im not sure there really are any    <SPLIT> I accept it needs a source However as far as I know Cornish is not an officially recognised regional language of England specifically The Cornish council has a policy to support the language and its a recognised regional language of the United Kingdom in addition to Welsh and others But theres nothing in the European Charter for Regional or Minority Languages that designates the region of the UK for each language    <SPLIT> I found an interesting peice on this from the Welsh Language Board Estimation of the number of Welsh speakers in England <SPLIT><SPLIT> The estimate that 110000 people resident in England can speak Welsh is reasonable Such a number  together with another thousand in Scotland and Northern Ireland  would mean that the total number of people able to speak Welsh in the UK exceeds 690000 and that some 17 of them live outside Wales elsewhere in the UK  <SPLIT><SPLIT> And <SPLIT><SPLIT> Applying these percentages to the Census total of 42358885 nonWelshborn residents of England produces very approximately a central estimate of 12000 with a lower estimate of 8000 and a higher of 13000 <SPLIT><SPLIT> Of course we still cant determine for certain if these are native English or descendants of Welsh people who have moved to England <SPLIT>    <SPLIT><SPLIT> Oh so I just realised this is the source you were discussing Oh well XD    <SPLIT><SPLIT>  Population map caption  <SPLIT><SPLIT> The first map in the population section carried the incorrect caption The metropolitan nonmetropolitan counties and unitary authorities of England The map actually","Conwall from which Cornish originates is a singular county region within England Wales is a Country and neither a County or region within England There are more speakers of Pakistani Urdu Punjabi etc than either Welsh or Cornish speakers To include Welsh as a regional language you woukd also have to list those as well    <SPLIT><SPLIT> Of course near a country border there will be an overspill of one countrys languages into anotheroverspill So people spoke English in Oswestry before they spoke Welsh Welsh has been a regional language of England At one time is was widely spoken in the Marches in addition to other Brittonic languages such as Cumbric and Cornish in their respective areas How can you say Welsh isnt a regional language while Cornish is simply because the areas where it is natively spoken are near another country where it is significantly more predominant Welsh is a native language of England unlike migrant languages I accept most of the 8000 Welsh speakers in England are probably from Wales but a significant amount will be native English people in the border counties like I said where there is significant mixed heritage    <SPLIT> The figure of 110000 is an estimate of those who could at an earlier time speak Welsh Not all of them would still consider themselves able to speak Welsh  Many people born in Wales and all those taught in Wales in recent years would have learned to speak at least some Welsh  That does not mean they are Welsh speakers now  The claims by  that Welsh is spoken by more native English in border communities then Cornish Places like Oswestry still have significant numbers of Welsh speakers  need a good source  And the fact is that Welsh is not an officially recognised regional language in any part of England   though Cornish is      <SPLIT> Absolutelyas the writers of the report acknowledge and I myself noted above 110000 is bound to be an overestimate but 8248 is just as likely to be an underestimate In any case as I noted again I agree that Welsh almost certainly shouldnt be listed in the article as a regional language The point is not of course how many speakers it has it has more than Cornish however you count it but whether or not it is officially recognised as a regional language or is spoken by a substantial community of people who werent born in Wales The first isnt the case and we need a good source for the second Unfortunately Im not sure there really are any    <SPLIT> I accept it needs a source However as far as I know Cornish is not an officially recognised regional language of England specifically The Cornish council has a policy to support the language and its a recognised regional language of the United Kingdom in addition to Welsh and others But theres nothing in the European Charter for Regional or Minority Languages that designates the region of the UK for each language    <SPLIT> I found an interesting peice on this from the Welsh Language Board Estimation of the number of Welsh speakers in England <SPLIT><SPLIT> The estimate that 110000 people resident in England can speak Welsh is reasonable Such a number  together with another thousand in Scotland and Northern Ireland  would mean that the total number of people able to speak Welsh in the UK exceeds 690000 and that some 17 of them live outside Wales elsewhere in the UK  <SPLIT><SPLIT> And <SPLIT><SPLIT> Applying these percentages to the Census total of 42358885 nonWelshborn residents of England produces very approximately a central estimate of 12000 with a lower estimate of 8000 and a higher of 13000 <SPLIT><SPLIT> Of course we still cant determine for certain if these are native English or descendants of Welsh people who have moved to England <SPLIT>    <SPLIT><SPLIT> Oh so I just realised this is the source you were discussing Oh well XD    <SPLIT><SPLIT>  Population map caption  <SPLIT><SPLIT> The first map in the population section carried the incorrect caption The metropolitan nonmetropolitan counties and unitary authorities of England The map actually",0.0006022453308105469,0.0006022453308105469,0,0,0,1,"Failed"
"University of New Hampshire notables  <SPLIT><SPLIT> Hi and welcome to Wikipedia  In general if a person is not the subject of a standalone article it is  probably not advisable to be adding him or her to a list of notables  In addition these sections have already become longer than is probably desirable","University of New Hampshire notables  <SPLIT><SPLIT> Hi and welcome to Wikipedia  In general if a person is not the subject of a standalone article it is  probably not advisable to be adding him or her to a list of notables  In addition these sections have already become longer than is probably desirable",0.00019532442092895508,0.00019532442092895508,0,0,0,1,"Failed"
"Your proposal is completely ridiculous and laughable You would classify Saul Berman Norman Lamm Avi Weiss as Haredim Your proposal is so stupid that I cannot express its stupidity in normal words No this is not an insult and not a personal attack its just the plain truth Please just withdraw this proposal","Your proposal is completely ridiculous and laughable You would classify Saul Berman Norman Lamm Avi Weiss as Haredim Your proposal is so stupid that I cannot express its stupidity in normal words No this is not an insult and not a personal attack its just the plain truth Please just withdraw this proposal",0.5393850803375244,0.5393850803375244,0,0,1,1,"Skipped"
"Page mentioned on The Big Show 6206  <SPLIT><SPLIT> JBB read large sections of this page on air on 6206 covering in particular the information on Marty Smarty Marty the One Man Party","Page mentioned on The Big Show 6206  <SPLIT><SPLIT> JBB read large sections of this page on air on 6206 covering in particular the information on Marty Smarty Marty the One Man Party",0.00035011768341064453,0.00035011768341064453,0,0,0,1,"Failed"
"It was voiced by John Wood who recorded the lines one word at a time","It was voiced by John Wood who recorded the lines one word at a time",0.0003510713577270508,0.0003510713577270508,0,0,0,1,"Failed"
"What would you like to change your name to","What would you like to change your name to",0.004557609558105469,0.004557609558105469,0,0,0,1,"Failed"
"This seems to be the third time youve asked this Helpme respondents lack the permissions to promote users to adminship Im not an admin myself and a bureaucrat is needed to promote a user youre very unlikely to get promoted with your lessthan10 nondeleted edits because a history of good contributions is needed before the community feels they can trust a user imagine if a vandal could make a few good contributions and then apply for adminship If youre still active in about 6 months time youll have more chance then","This seems to be the third time youve asked this Helpme respondents lack the permissions to promote users to adminship Im not an admin myself and a bureaucrat is needed to promote a user youre very unlikely to get promoted with your lessthan10 nondeleted edits because a history of good contributions is needed before the community feels they can trust a user imagine if a vandal could make a few good contributions and then apply for adminship If youre still active in about 6 months time youll have more chance then",0.0016241073608398438,0.0016241073608398438,0,0,0,1,"Failed"
"my opinion about the Nakhcivan  Nakhcivan is a very big city and famousThere are many people in nakhcivan","my opinion about the Nakhcivan  Nakhcivan is a very big city and famousThere are many people in nakhcivan",0.0008057951927185059,0.0008057951927185059,0,0,0,1,"Failed"
