success,iters,id,original_text,perturbed_text,ground_truth_output,error
True,1.0,1,Dear god this site is horrible,dear god this bitch is horrible,0,
True,1.0,2,"Somebody will invariably try to add Religion  Really  You mean the way people have invariably kept adding Religion to the Samuel Beckett infobox  And why do you bother bringing up the longdead completely nonexistent Influences issue  Youre just flailing making up crap on the fly 
  For comparison the only explicit acknowledgement in the entire Amos Oz article that he is personally Jewish is in the categories",somebody will fucking try to add religion really you mean the way people have invariably kept adding religion to the samuel beckett infobox and why do you bother bringing up the longdead completely nonexistent influences issue youre just flailing making up crap on the fly for comparison the only explicit acknowledgement in the entire amos oz article that he is personally jewish is in the categories,0,
True,1.0,8,"Arabs are committing genocide in Iraq but no protests in Europe  

 May Europe also burn in hell",arabs are committing genocide in iraq but no protests in europe may europe also burn in.,1,
True,1.0,20,Id never think Id need to say it but Wikipedia isnt a fansite discussion board If anything is unannounced by any authority it might as well be false MMORPGs are overrated,id never think id need to say it but wikipedia isnt fucking fansite discussion board if anything is unannounced by any authority it might as well be false mmorpgs are overrated,0,
True,2.0,22,DJ Robinson is gay as hell he sucks his dick so much,dj robinson is gay as hell he tells his friends so much,1,
True,1.0,25,I WILL BURN YOU TO HELL IF YOU REVOKE MY TALK PAGE ACCESS,i will fuck you to hell if you revoke my talk page access,0,
True,1.0,27,Fuck off you antisemitic cunt,get off you antisemitic cunt,1,
True,1.0,29,REDIRECT TalkKemps thicket rat,red *ct talkkemps thicket rat,0,
True,1.0,35,How dare you vandalize that page about the HMS Beagle Dont vandalize again demon,how dare you vandalize that page about the hms beagle dont vandalize again!,1,
True,1.0,36,No he is an arrogant self serving immature idiot Get it right,no he is an arrogant self serving immature. get it right,1,
True,1.0,56,I just revamped WPFART I thought a little housekeeping would give it more street cred,i just revamped w *art i thought a little housekeeping would give it more street cred,0,
True,1.0,61,While I tend to agree with all of this and am as slightly annoyed as anyone that we appear to have been blamed even though our article was accurate and respectful at all times and Mr Roth was treated with dignity and respect at all times its always in my nature to think about how we might do better in the future,while i tend to agree with all of this and am as fucking annoyed as anyone that we appear to have been blamed even though our article was accurate and respectful at all times and mr roth was treated with dignity and respect at all times its always in my nature to think about how we might do better in the future,0,
