perturbed_text,ground_truth_output
Thanks for letting me know  Let me know if theres anything you [[nerd]] from me,0
Speculation by newspaper reporters is still just speculation not [[fatcs]],0
Hatting Child sexual [[abuqe]]  <SPLIT><SPLIT> I apologise If I had seen this I would have made no further comments Unfortunately the 140 IP undid your sensible work You were right,0
To have an [[artocle]] about the suspect before he is formally convicted of a crime violates the Biographies of Living Persons policy specifically WPBLPCRIME and WPBLP1E That article SHOULD NOT exist Period,0
This is the REAL [[Iwlam]] u Kaffir,0
August 2008 <SPLIT> Please do not add nonsense to Wikipedia It is considered vandalism If you would like to experiment use the sandbox [[Thak]] you,0
Hey Einstein Stop your [[grabage]] editing What is wrong with you Grow up,1
Dont listen to them theyre an unashamed [[hyEpocrite]],1
PS I have just requested via WikipediaArticles for creationRedirects that this erroneous redirect from  BenSegal to  JudahSegal be removed so maybe you do not [[nerd]] to do anything <SPLIT><SPLIT> PPS Do you recommend that I propose having my own Wikipedia page,0
the UK seems definitely to have arrived at US levels of racial hysteria now So this man was forced to apologize to a [[Moroncco]] for for saying  she looked like a Paki Thats rather ambiguous,0
Just letting you know your contribution was predictably and unceremoniously blanked again by iss246 as well as the correct NPOV [[dipsute]] and other correct tags Your call though,0
Okay well anyways I posted to the talk page for that article in the French version if anyone wants to use your Quality improvement project as a model for theirs [[Exceolent]] work,0
Donkey vs Burro  <SPLIT><SPLIT> The Burro section does not explain why the different words AFAIK this is just a SW US synonym for donkey  jackass  ass Spanish Burro BTW means simply donkey etc,0
Well I dont like to say Ill school you if you like sigh although Im a whole new bitch when it comes to musical correctness than what you might have be used to,0
I [[woukd]] like to know when the facemask was first utilized  Im guessing around 1956  Anybody know  Ive seen some photos of some type of facemask installed on a leather helmet Im talking about on a Riddell type helmet <SPLIT> Thanks in advance <SPLIT> BobE,0
Fighters  Tournament Brackets <SPLIT> Do we really need a list of fighters in the tournament and tournament brackets  Wouldnt the brackets be enough and clearly establish who is fighting in each weight [[ckass]] tournament  It seems a bit redundant,0
your recent addition to Boone  <SPLIT><SPLIT> Hi DNBR  When you add an entry to a disambiguation page like you did to Boone the manual of style for disambiguation pages specifies that there should only be one blue navigable entry  So I removed the nontopical link from your entry and did a small [[ckpyedit]] Best wishes,0
We wouldnt knock it off it if came from a reliable source ie  not GameSpot the fact you are having a go at us makes us value your opinion slightly less You are on the edge of breaching WPDICK so Id be [[ckareful]] where you tread This isnt a warning Im telling you plainly that your attitude is way out of line,0
Well when this article was created WPV started with the disclaimer Mind you in [[wriitng]] it down we may decide its rubbish and had However dont be too keen to remove unverified information at the cost of completeness in the lede There will be some intertia Give it some time and keep pushing  but pushing by example instead of by nagging is better,0
ahahaha you do know what reactionary means right You [[gayve]] me a chuckle,0
[[Molch]] ass grassy ass,1
I havent had much [[nerd]] to use it so here I finally get a chance and I forget to I wish I could say itd surprise me to find this connected with some WMF project but then again I wish I could say I have a billion dollars in my bank account Ill have to take a look at the Village Pump too,0
Question <SPLIT><SPLIT> Hey anon how about making account  <SPLIT><SPLIT> Thank you for your [[ckntributions]] to the math articles,0
