perturbed_text,ground_truth_output
Its own article <SPLIT><SPLIT> Why is it that the [[Estados]] States Warrant Officer rank has its own page but the United Kingdom Australia and a few others share a page     or,0
Could you [[aspect]] us straight to some with good article status in those categories  They are hard to find any better than this one Thanks,0
Illiterate and generally regarded as a retard presumably he would have been deemed too thick even for the services,0
Not to mention that the relevant column is Location not State And the location is very clearly Ukraine and just Ukraine,0
Do as I say not as I do <SPLIT> I would recommmend that you too visit WPEQ,0
In WPBRD the bold person initiates the discussion  waits before making further reverts,0
Hi  <SPLIT><SPLIT> Hi  on Bupenda Meitei  i did that  i mean removing the orphan tag after discussing quite at length in your IRC chat with Peter Cortithe user too Plz help me how shall i proceed with the article  m new here,0
That everyone does not agree that a definition is correct does not mean that the definition is subjective in itself Yes not everyone agrees that targetting civilians is a characteristic of terrorism Not everyone agrees that the content of your definition is terrorism either I dont know why you think the one you have picked is special,0
Job hunting <SPLIT> Thank you for changing your username but no matter what username you choose you really are not allowed to use Wikipedia to advertise your web site  Thank you for stopping now,0
Thanks for the xplanations Cheers,0
Reference to Nazi and separatist statement  <SPLIT><SPLIT> This statement is out of line To compare the Quebec government to Nazi Germany is ridiculous hateful and really racist The Quebec people as first Canadians readily accepted the first Nations and did not take away their land and kill them like the English did The first Jews in Canada were in Montreal and they were and still are accepted as a part of Quebec society I dislike your comment It makes me angry The first concentration camps were built by the English in South Africa against the Boers The AngloSaxons came from Northern Germany so you have much in common with the Nazis Takes one to know one The conductors name is Tom Harding so shut up in respect for all the people that died in Lac Megantic It was the British that [[acclaimed]] the Province of Canada taken from France Province of Quebec Also read the Quebec Act 1774 the British parliament talks about Canadiens this 100 years before Confederation It is your ignorance with Canadian history that is the root of your racist statements You should read about this too your own people kicked out of USA Expulsion of the Loyalists Now who are the Nazis It was also these same people that divided the Province of Quebec into Upper Canada and Lower Canada So who were the first separatists,0
Evacuated is British propaganda It wasnt evacuated It was ethnically cleansed   Preceding unsigned comment added by     <SPLIT><SPLIT>  An antiSemitic administrator has just inserted antiSemitic Arab propaganda into this article and then prevented the page from being corrected  <SPLIT><SPLIT> I propose that the antiSemites Discospinster Nishidani and Huldra be banned immediately   Preceding unsigned comment added by     <SPLIT><SPLIT>  Interesting how this racist article calls Arabs Palestinians Jews settlers Jordanian occupation Jordanian control Israeli control Israeli occupation  <SPLIT><SPLIT> This is more proof of Wikipedias rampant antiSemitism   Preceding unsigned comment added by,0
Munson  <SPLIT><SPLIT> An overprotective obsessive parent who harshly judges their children and assumes to much Or a young redhead child who wants to be free but will be forever caged by her parents wrong doing and accusations A pickled cucumber Also buttsex,0
SL [[Atalanta]]  <SPLIT><SPLIT> Could you please get another source in English that doesnt contain factual errors Your source shows This time last year Bayern with 217000 registered members lagged behind Benfica with 224000 Thats outdated back in February Benfica had at least 235000 members source is FIFA weekly magazine which is in the article,0
yeah youre right its pretty [[idiotic]] to delete thatI DO NOT believe the curse for Favre is his Packers situation Im still banking on the loser to get in a horrifying car accident,0
Your signiture  <SPLIT><SPLIT> Your signiture is [[allure]] but either has a bug or conflicts with firefox The red at the end is not closing out so the RfAs Ive been viewing look like theyve bled everywhere Might be worth a look,0
I think that the sticking point  the potential problem with granting this request  for many administrators is that while Trongphu is exactly right when he says blocks are preventative rather than for punishment hes also exactly right when he says blocks are preventative rather than for punishment Yes I know thats a tautology but the point is that while Trongphu views this block as punishment because he feels its unnecessary theres a very valid other viewpoint that the block is preventative because its preventing Trongphu getting back into this risky environment The block like all indefinite blocks is on his account because it was determined that he needed to be prevented from editing here until he addressed the behavior that led to his block and its a pretty big leap of faith to say if you remove the thing preventing me from editing I promise I wont edit anymore anyway It could be a 100 honest promise that will be carried out it could be a 100 honest promise that will nevertheless erode in the face of temptation or it could be a lessthanhonest promise because the community has in the past been burned by other people who made similar promises and didnt keep them its tough to know which this one is and its tough to be willing to take that leap of faithThe other issue is that if the block is lifted not because the behavior has been addressed but simply to restore Trongphus face that sets off a potential cascade of issues Once hes unblocked on the technicality of I wont edit anyway is he an editor in good standing Does that mean he can exercise a clean start and reincarnate under another username as editors in good standing are permitted to do What happens if hes unblocked on the promise that he wont edit and then immediately returns to editing Can it be a violation of unblock conditions to behave as if youre unblocked when you are unblockedNone of these issues mean that an unblock absolutely positively wont happen here or even that one shouldnt necessarily happen here But I think whats causing reluctance on the part of the community is that Trongphu appears to be approaching this as Ive put in enough time now I have the right to get what I want rather than here is what I want how can I convince the community that making that happen isnt a bad idea they will regret Can we work out conditions When were being asked to take only the word of someone who had previously shown a bit of a tendency to make poor snap decisions when upset  and to feel those decisions are justified  its difficult to be sure based only on what hes telling us now that that same person wont do the same thing next time he reads something on enwp that upsets him,0
So I dont [[believe]] reverting all of them was the right course of action here,0
Constitution does not grant states the right to execute people <SPLIT><SPLIT> This argument about the 5th and 14th Amendments has been made to the Supreme Court on a number of occasions  The Court has ever adopted your interpretation,0
[[Attach]] to Turkey and Genocide Denial  <SPLIT> Kuniholms lobbying for Turkey and participation in the denial of the Armenian genocide must be included in his entry for all posterity to see  His early career in Turkey and his networks there particularly with Ergenkon should also be discussed in the entry  A neutral POV demands no less,0
Sock puppetry <SPLIT> Hi You are a suck puppet of  who blocked indefinitely you are not allowed to create another account or edit wikipedia all your edits will be reverted,0
Tikal the Echidna <SPLIT><SPLIT> Im just wondering but why did you get rid of the likes and dislikes  Its true and if somethings not correct you can get rid of it anon,0
plot vs spoiler  <SPLIT><SPLIT> i think its really childish to revert every time a decent complete description of the plot is online argueing that there might be spoilers for readers come on is this a kindergarten or what wp is supposed to be an encyclopedia even though so many collaborators havent understood that yet its a pity in an encyclopedia there necessarily has to be a complete description of the book otherwise its some sort of advertisement for the book is that what you want you reverters,0
Notability of Vivo band <SPLIT> A tag has been placed on Vivo band requesting that it be speedily deleted from Wikipedia This has been done because the article seems to be about a person group of people band club company or web content but it does not indicate how or why the subject is notable that is why an article about that subject should be included in an encyclopedia Under the criteria for speedy deletion articles that do not assert the subjects importance or significance may be deleted at any time Please see the guidelines for what is generally accepted as notable  <SPLIT><SPLIT> If you feel that you can assert the notability of the subject you may contest the deletion To do this add  on the top of the page just below the existing speedy deletion or db tag and leave a note on the articles talk page explaining your position Please do not remove the speedy deletion tag yourself but dont hesitate to add information to the article that would confirm the subjects notability under Wikipedia guidelines <SPLIT><SPLIT> For guidelines on specific types of articles you may want to check out our criteria for biographies for web sites for bands or for companies Feel free to leave a note on my talk page if you have any questions about this,0
No you state that there is a strong economic case  I disagree and numerous government studies do too,0
Nublet <SPLIT> i will slap you in the testicles,1
[[Aides]] Use English,0
11 February 2012 UTC <SPLIT> Well thats the communitys hope anyway That [[fucking]] now shutthefuckup abouttransferto canvass Its what normal people would do finally after years but lets see   2308,0
Ill see if I can find an image,0
Err a few minutes I was blocked for over 2 hours Thehmmmmwell meaning admin forgot to remove the autoblock after finally unblocking me nasty that and at the moment I am not feeling like making many more positive contributions here,0
WON  <SPLIT><SPLIT> I think the awards issue is coming out on Wednesday Ill confirm the winners and add the sources when I get it if no one else has done so by then I dont know about that site It looks fine and with the correct info but I really cant say whether its useful or not,0
Thanks I havent left him or her a message and at this point it would probably be better if someone else did so it doesnt seem like Im trying to antagonize him or her,0
Terminating the RFA process with extreme prejudice  <SPLIT><SPLIT> On WPRFA you wrote If youre wondering contact me on my talk page  Well here I am and wondering what Im doing here  Enlighten me,0
Should eyewitnesses accounts of what happened during that time be included   <SPLIT><SPLIT> There are some good personal commentaries found in the internet by people who witnessed how the event unfold  <SPLIT><SPLIT> Granted these personal comments can be biased towards the eyewitness point of view however there are some facts that can be verified or corrected when more eyewitness come forward to contribute to this wiki For instance <SPLIT><SPLIT> The riots first broke out in the Kampong BahruRaja LautChow Kit areawhen the Malay mobs armed with parangs came out of Kampong Bahru and started attacking Chinese and Indian passersby burning cars and torching Chinese shophouses in the Raja LautChow Kit areasChinese gangsters came out to defend the Chinese and Indians and fought with the Malays with sharpened lead pipesthen the Malay regiment came out and started shooting the Chinese with their gunsa lot of people died in the Jalan Tuanku Abdul Rahman area near the Odeon Cinema <SPLIT><SPLIT> The casualties brought to the KLGH in stages showed that in the first stage most of the casualties were Chinese suffering from parang woundsthis showed that that the Malays had attacked first and the Chinese were caught by surpriseThe 2nd stage casualties were almost equal between Chinese and Malays with parang wounds Chinese and wounds inflicted by sharpened pipes Malays In the 3rd stage all the casualties were Chinese many dying from gunshot wounds showed reflected the shooting spree of the Malay regimentMany of the victims were Chinese and Indians shot by Malay soldiers for breaking the curfewwhat actually happened was that when their houses were burnt by the malay rioters these nonMalays had to run out and were shot by the soldiers for breaking the curfewI remember hearing over Radio Malaysia during the height of the riots that curfew breakers would be shot <SPLIT><SPLIT> The mass graves of Chinese at Sungei Buloh and other places with some of the bodies tarred to prevent racial identification was true as described by other bloggers above  <SPLIT><SPLIT>  by Anonymous Thursday February 03 2005 104746 PM <SPLIT><SPLIT> taken from httpwwwmalaysiatodaynetBloge200502ispolarisationinmalaysiadeadorhtm,0
Please refrain from adding nonsense to Wikipedia as you did to Human penis size It is considered vandalism If you would like to experiment use the sandbox,1
The [[articles]] is about [[fucker]] size and race and penis size has been a poorly explored matter currently so I cant see how we can devote so much space to it,0
[[Allegedly]] you mean in addition it had Semitic deities such as,0
Well I spended hours to take photos on a sci fi convention and decided to upload free image on Wikipedia of uniforms actors etc,0
Better research and citations  <SPLIT><SPLIT> The article is working it seems from some rather dated material on Beringia  In <SPLIT> Bonatto SL Salzano FM  1997  A single and early migration for the peopling of the Americas supported by mitochondrial DNA sequence data Proc Nat Acad Sci 945 18661871 <SPLIT> They indicate that migration could have been occuring as early as 55000 ybp <SPLIT><SPLIT> In addition differing information has come from the comparison of mtDNA haplotypes and Ychromosomal haplotypes  Compare  <SPLIT> Silva Jr W  Bonatto S  Holanda A  RibeirodosSantos A  Paixo B  Goldman G  AbeSandes K RodriguezDelfin L Barbosa M PaLarson M PetzlErler M Valente V Santos S  Zago M   2002 Mitochondrial Genome Diversity of Native Americans Supports a Single Early Entry of Founder Populations into America Am J Hum Genet 711 187192 <SPLIT> and <SPLIT> Lell J  Sukernik R  Starikovskaya Y  Su B Jin L Schurr T  Underhill P  Wallace D  2002  The Dual Origin and Siberian Affinities of Native American Y Chromosomes Am J Hum Genet  701 192206,0
Here in wikipedia You write on your community <SPLIT> I am a reddy from AP and USA I request others to not to write on reddies as they like that they are OBCs You write on yourself as you like but not on others insulting them,0
Oh yes  I did French and Latin in school  We moved from NSW to Qld when I was 13 it was August and theyd been studying French all year since late January so I had quite some catching up to do  I studied hard and came top of the class at the end of the year   Id already done 2 years of Latin at my previous school and continued at the new school  Why on Earth I went into medical lab technology accountancy and mathematics before finally realising that my true aptitude was in language music and history  well some of us take longer than others  But I learned some great info along the way so its all good  My third attempt at a bachelors degree was in Mathematics but half way through I said [[fucking]] this and went and enrolled in the Russian course  The uni rules allowed me to combine both streams in the same degree but the title was Bachelor of Arts in Modern Languages although Russian was the only language I did at tertiary level   <SPLIT>  Plus Ive learned a lot from a lifelong interest in opera and classical music history and a general interest in particularly European languages  Im reasonably confident with my pronunciation of Polish Czech Serbian German Italian French Dutch Spanish Ukrainian and knowing a smattering of words in all of them  Not so much Portuguese Icelandic Norwegian Danish Swedish Finnish Romanian Bulgarian Hungarian Greek Albanian Turkish Arabic Chinese Japanese Vietnamese Swahili,0
Joint oldest is most accurate  that was the first international match,0
