"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Why]] [[is]] a [[sentence]] like [[this]] The [[comparison]] of [[Auden]] and [[Yeats]] needs [[to]] be [[revisited]] substantially [[part]] of [[a]] Wikipedia [[page]]  It [[was]] [[recommended]] [[to]] me [[that]] [[I]] [[visit]] this [[page]] [[and]] [[several]] other [[pages]]  [[Who]] [[is]]  and [[why]] are [[these]] debates [[being]] played [[out]] in [[this]] arena  [[Students]] come [[to]] Wikipedia [[for]] facts [[and]] my [[sense]] is [[that]] facts [[are]] what [[Wikipedia]] does [[well]]  To [[revisit]] the [[comparison]] of [[Auden]] and [[Yeats]] ought [[not]] to [[be]] part [[of]] [[WIkipedias]] purview  [[In]] [[my]] [[opinion]] of [[course]]  [[Signed]] [[TVW]]","a like The of and needs be substantially of Wikipedia  It me this other   and are debates played in arena  come Wikipedia facts my is facts what does  To the of and ought to part purview  of  ",0.010587289929389954,0.5948569178581238,0,0,0,142,"Maximized"
"[[Do]] you [[mean]] as [[an]] initial [[picture]] That [[one]] is [[fine]] We [[do]] need [[various]] incarnations [[of]] the [[entity]] throughout [[the]] article [[however]] to [[reflect]] its [[phases]] through [[time]]","you as initial That is We need incarnations the throughout article to its through ",0.032492026686668396,0.5497334003448486,0,0,0,45,"Maximized"
"[[Illiterate]] and [[generally]] regarded [[as]] a [[retard]] presumably [[he]] would [[have]] been [[deemed]] too [[thick]] even [[for]] the [[services]]","and regarded a presumably would been too even the ",0.04959309473633766,0.575908899307251,0,0,0,30,"Maximized"
"[[Using]] microcredit [[in]] Christian [[ministry]]","microcredit Christian ",0.1884537637233734,0.7884538173675537,0,0,0,9,"Maximized"
"[[Comment]] [[I]] would [[support]] this [[version]] but [[for]] one [[thing]] I [[think]] the [[refs]] used [[to]] support [[narrow]] shouldnt [[be]] others [[describing]] the [[election]] [[as]] [[narrow]] but [[sources]] [[but]] [[a]] source [[that]] [[has]] [[statistics]] showing [[that]] [[it]] [[is]] narrow [[Such]] as [[this]] one [[from]] the [[University]] at [[Buffalo]] <SPLIT> Though [[not]] as [[close]] as [[the]] 2000 [[election]] in [[terms]] of [[the]] popular [[vote]] the [[2004]] election [[was]] the [[ninth]] closest [[presidential]] election [[since]] [[the]] Civil [[War]] [[and]] [[the]] fourth [[closest]] [[in]] [[terms]] of [[electoral]] [[votes]]","would this but one I the used support shouldnt others the but source showing narrow as one the at <SPLIT> Though as as 2000 in of popular the election the closest election Civil fourth of ",0.011217485181987286,0.6064555644989014,0,0,0,135,"Maximized"
"[[To]]  <SPLIT> [[You]] may [[think]] youre [[doing]] a [[service]] to [[your]] company [[by]] changing [[it]] into [[corporatespeak]] propaganda [[but]] Im [[quite]] disappointed [[that]] you [[deleted]] [[my]] [[relevant]] contribution [[about]] [[the]] [[companys]] efforts [[to]] [[aid]] [[ESPNs]] NASCAR [[coverage]] [[in]] [[spite]] of [[the]] fact [[that]] that [[is]] the [[most]] publicly [[notable]] and [[interesting]] fact [[I]] could [[find]] on [[the]] page [[at]] the [[time]]  Furthermore [[you]] did [[so]] without [[an]] explanation [[or]] any [[sort]] of [[discussion]] on [[the]] talk [[page]]  It [[may]] not [[matter]] to [[you]] since [[youre]] spreading [[the]] good [[word]] [[but]] what [[YOUas]] [[an]] [[employeethink]] are [[relevant]] [[facts]] [[are]] not [[what]] [[wikipedia]] [[is]] about"," <SPLIT> may youre a to company changing into propaganda Im disappointed you contribution efforts NASCAR of fact that the publicly and fact could on page the  Furthermore did without explanation any of on talk  It not to since spreading good what are not about",0.009237930178642273,0.587669312953949,0,0,0,162,"Maximized"
"[[No]] [[of]] course [[not]] But [[luckily]] this [[isnt]] what [[this]] is [[This]] is [[an]] article [[about]] HIM [[in]] a [[section]] about [[HIS]] style [[of]] [[play]] [[and]] the [[fact]] [[is]] [[he]] on [[numerous]] [[occasions]] [[took]] free [[kicks]] [[for]] [[any]] team [[he]] played [[with]] and [[scored]] a [[noticeable]] not [[considerable]] amount [[of]] them [[I]] think [[the]] original [[term]] able [[was]] perfectly [[weighted]] as [[it]] didnt [[go]] [[too]] far [[in]] [[either]] [[direction]] and [[simply]] [[represented]] [[a]] reality","course But this what is is article HIM a about style the on free team played and a not amount them think original able perfectly as didnt far and reality",0.01273336261510849,0.607327938079834,0,0,0,119,"Maximized"
"[[That]] everyone [[does]] not [[agree]] that [[a]] definition [[is]] correct [[does]] not [[mean]] that [[the]] definition [[is]] subjective [[in]] itself [[Yes]] not [[everyone]] agrees [[that]] targetting [[civilians]] is [[a]] characteristic [[of]] terrorism [[Not]] everyone [[agrees]] that [[the]] content [[of]] your [[definition]] is [[terrorism]] either [[I]] dont [[know]] why [[you]] think [[the]] one [[you]] have [[picked]] is [[special]]","everyone not that definition correct not that definition subjective itself not agrees targetting is characteristic terrorism everyone that content your is either dont why think one have is ",0.01653103157877922,0.5253030061721802,0,0,0,87,"Maximized"
"[[I]] have [[moved]] [[HomosexualitySandbox]] to  [[I]] have [[put]] an [[explaining]] note in","have to  have an note in",0.07852240651845932,0.5785223841667175,0,0,0,19,"Maximized"
"[[Perfect]]  I [[understood]] [[I]] will do [[the]] [[same]] [[and]] update [[you]]"," I will do update ",0.08566080033779144,0.7220244407653809,0,0,0,19,"Maximized"
"[[SelfOneself]] <SPLIT> [[I]] would [[like]] to [[kick]] off [[a]] debate [[on]] the [[translation]] of [[non]] sibi [[sed]] omnibus [[When]] I [[was]] at [[school]] it [[was]] [[always]] [[rendered]] into [[English]] [[at]] [[least]] as [[far]] [[as]] [[I]] remember [[as]] [[not]] [[for]] oneself [[but]] for [[all]] and [[not]] not [[for]] self [[but]] for [[all]] Self [[may]] be [[a]] more [[direct]] translation [[from]] the [[Latin]]  but [[is]] it [[a]] [[better]] and [[more]] [[natural]] [[translation]] than [[oneself]] [[Personally]] [[I]] dont [[think]] [[so]]","<SPLIT> would to off debate the of sibi omnibus I at it into as remember oneself for and not self for Self be more translation the  but it and than dont ",0.012398273684084415,0.6176614761352539,0,0,0,123,"Maximized"
"[[What]] military [[functions]]  He [[didnt]] participate [[in]] raids [[he]] didnt [[seek]] out [[enemy]] combatants  [[He]] was [[a]] private [[security]] guard [[engaged]] by [[two]] private [[companies]] that [[were]] shipping [[out]] kitchen [[supplies]]  The [[only]] difference [[between]] his [[duties]] and [[those]] of [[a]] guard [[for]] a [[Brinks]] armored [[car]] is [[that]] the [[neighborhood]] he [[was]] running [[through]] was [[more]] hazardous  [[Im]] removing [[it]] from [[this]] page","military  He participate raids didnt out combatants  was private guard by private that shipping kitchen  The difference his and of guard a armored is the he running was hazardous  removing from page",0.014722950756549835,0.5147229433059692,0,0,0,97,"Maximized"
"[[Purple]] People [[Eaters]]  <SPLIT><SPLIT> oh [[that]] was [[insane]] Fun [[to]] watch [[but]] insane [[Jared]] Allen [[is]] a [[monster]]","People  <SPLIT><SPLIT> oh was Fun watch insane Allen a ",0.05542757734656334,0.5848393440246582,0,0,0,27,"Maximized"
"[[Worlds]] [[10]] Worst [[Dictators]] in [[2007]]","Worst in ",0.15704479813575745,0.8237115144729614,0,0,0,11,"Maximized"
