perturbed_text,ground_truth_output
letting  Let me anything from ,0
still just not ,0
Child  <SPLIT><SPLIT> I apologise this would have comments Unfortunately undid work ,0
have about the a the Biographies Persons WPBLP1E That NOT ,0
is REAL ,0
<SPLIT> Please do Wikipedia It considered would like the sandbox Thank ,0
I requested via creationRedirects redirect from   so maybe need to <SPLIT><SPLIT> PPS recommend propose my ,0
your garbage What wrong Grow ,1
listen theyre unashamed hypocrite,1
UK arrived of now So to Morocco for for saying  like ,0
letting contribution and iss246 as the correct NPOV call ,0
I posted the page that French version to use Quality project as model ,0
would to facemask was   know  seen photos type facemask talking a <SPLIT> <SPLIT> ,0
Donkey vs Burro  <SPLIT><SPLIT> The Burro section does not explain why the different words AFAIK this is just a SW US synonym for donkey  jackass  ass Spanish Burro BTW means simply donkey etc,0
Well I dont like to say Ill school you if you like sigh although Im a whole new bitch when it comes to musical correctness than what you might have be used to,0
 Brackets <SPLIT> really need of fighters in tournament  brackets who is fighting in tournament  a bit ,0
recent to  <SPLIT><SPLIT> DNBR  add to disambiguation the for pages specifies only blue navigable entry  So removed nontopical and small wishes,0
when was started disclaimer Mind it decide and dont too keen to unverified at cost completeness in will intertia it some time pushing  by instead nagging ,0
knock off from a  GameSpot the having go at less You edge of breaching you tread This attitude way of line,0
had need it finally get I forget wish say me to find connected I a billion in Ill look at the Pump ,0
<SPLIT><SPLIT> anon about account  <SPLIT><SPLIT> for your to articles,0
you know reactionary me a ,0
ass ,1
of parts the are you ,0
 Editwarring  <SPLIT><SPLIT> say the talk and instead of nonstop Personal not helping ,0
Muslims <SPLIT> you are Muslim a cunt <SPLIT> are and utter <SPLIT> Thats <SPLIT> All Muslims <SPLIT> If are a Muslim <SPLIT> are complete and <SPLIT> my <SPLIT> All are <SPLIT> are a you cunt <SPLIT> <SPLIT> stands <SPLIT> <SPLIT> are a <SPLIT> are complete utter <SPLIT> Thats my ,1
where 30026 points,0
apologies views been published but they have Please the i provided,0
   used the  not a your and  tag you are and to help question at new desk the help Click ,0
