perturbed_text,ground_truth_output
Thanks for letting me know  Let me [[fuck]] if theres anything you need from me,0
[[surmisal]] by newspaper reporters is [[tranquilize]] just [[guess]] not [[fact]],0
Hatting Child sexual abuse  <SPLIT><SPLIT> I apologise If I had seen this I would have [[shit]] no further comments Unfortunately the 140 IP undid your sensible work You were right,0
To have an [[clause]] about the [[mistrust]] before he is [[officially]] [[convict]] of a [[offense]] [[plunder]] the [[life]] of [[populate]] [[person]] policy specifically WPBLPCRIME and WPBLP1E That [[clause]] SHOULD NOT [[live]] [[menses]],0
This is the [[veridical]] [[Muslimism]] u [[caffre]],0
[[lordly]] 2008 <SPLIT> [[delight]] do not [[bestow]] nonsense to Wikipedia It is [[moot]] [[hooliganism]] If you would [[ilk]] to [[experimentation]] [[expend]] the [[sandpit]] Thank you,0
[[P]] [[ane]] have just [[bespeak]] via WikipediaArticles for creationRedirects that this erroneous redirect from  BenSegal to  JudahSegal be [[slay]] so [[peradventure]] you do not [[demand]] to do anything <SPLIT><SPLIT> PPS [[brawl]] you [[urge]] that I [[aim]] having my own Wikipedia [[paginate]],0
Hey Einstein Stop your [[drivel]] editing What is wrong with you Grow up,1
Dont listen to them theyre an unashamed [[dissimulator]],1
the UK seems definitely to have arrived at [[U]] [[raze]] of racial hysteria now So this [[homo]] was forced to apologize to a [[Marruecos]] for for [[aver]]  she [[face]] like a Paki Thats rather ambiguous,0
Just letting you [[fuck]] your contribution was predictably and unceremoniously blanked again by iss246 as well as the correct NPOV dispute and other correct tags Your call though,0
I would like to [[fuck]] when the facemask was first utilized  Im guessing around 1956  Anybody know  Ive seen some photos of some type of facemask installed on a leather helmet Im talking about on a Riddell type helmet <SPLIT> Thanks in advance <SPLIT> BobE,0
Donkey vs Burro  <SPLIT><SPLIT> The Burro section does not explain why the different words AFAIK this is just a SW US synonym for donkey  jackass  ass Spanish Burro BTW means simply donkey etc,0
Well I dont like to say Ill school you if you like sigh although Im a whole new bitch when it comes to musical correctness than what you might have be used to,0
[[paladin]]  Tournament [[bracket]] <SPLIT> [[ut]] we [[very]] [[pauperism]] a [[heel]] of [[scrapper]] in the tournament and tournament brackets  Wouldnt the brackets be enough and clearly [[constitute]] who is fighting in each [[slant]] [[assort]] tournament  It [[look]] a [[flake]] [[superfluous]],0
your [[late]] [[accession]] to Boone  <SPLIT><SPLIT> [[hello]] DNBR  When you [[sum]] an [[entrance]] to a disambiguation [[paginate]] [[care]] you did to Boone the manual of [[way]] for disambiguation [[paginate]] [[limit]] that there should only be [[unrivalled]] [[naughty]] navigable [[entrance]]  [[thence]] I [[murder]] the nontopical [[yoke]] from your [[ingress]] and did a [[minuscule]] [[subedit]] [[outflank]] [[care]],0
[[hunky-dory]] well anyways I posted to the [[mouth]] [[paginate]] for that article in the French version if anyone wants to use your [[timbre]] [[advance]] [[fancy]] as a [[mannikin]] for theirs [[fantabulous]] [[lick]],0
We wouldnt knock it off it if came from a reliable source ie  not GameSpot the fact you are having a [[die]] at us [[shit]] us value your opinion slightly less You are on the edge of breaching WPDICK so Id be careful where you tread This isnt a warning Im telling you plainly that your attitude is way out of line,0
[[well]] when this article was [[make]] WPV [[get]] with the [[disavowal]] [[brain]] you in [[spell]] it down we [[whitethorn]] [[adjudicate]] its [[trash]] and had [[withal]] dont be too [[slap-up]] to [[murder]] unverified [[entropy]] at the [[be]] of completeness in the lede [[thither]] will be some intertia [[pay]] it some [[clock]] and keep [[fight]]  but [[fight]] by [[exemplar]] instead of by nagging is [[punter]],0
ahahaha you do [[fuck]] what reactionary means right You gave me a chuckle,0
Mooch [[fundament]] grassy [[posterior]],1
What part of [[inbuilt]] parts of the Nazi ideology are you [[scrap]],0
[[ane]] havent had much [[demand]] to [[expend]] it so here I finally [[dumbfound]] a [[happen]] and [[ane]] forget to I wish I could say itd surprise me to find this [[associate]] with some WMF [[jut]] but then again [[ane]] wish I could say [[ane]] have a [[gazillion]] [[buck]] in my bank account [[sick]] have to [[shoot]] a [[face]] at the Village [[ticker]] too,0
[[oppugn]] <SPLIT><SPLIT> Hey anon how about [[shit]] account  <SPLIT><SPLIT> Thank you for your contributions to the math articles,0
Dwight hasnt retired that I [[fuck]] of he just hasnt been accepted by radio of late He did have a single after Blame The Vain however  it was I Wanna Love Again which didnt chart,0
Re  Editwarring  <SPLIT><SPLIT> I can say the same about you See the talk page and use logic instead of this nonstop garbage about [[shit]] up policies Personal attacks are not helping anyone either,0
[[too]] [[delight]] dont be so hostile We are a collaborative [[surround]] there is no [[take]] to [[thrash]] around [[damage]] [[ilk]] ignorant or [[assumptive]] We [[immoral]] our [[substance]] on [[confirmable]] [[root]] not the [[adept]] knowledge of our contributors To [[rest]] your own ignorance and [[array]] your [[effrontery]] of how Wikipedia [[lick]] pleased [[take]] our verifiability and no [[master]] research [[insurance]] <SPLIT><SPLIT> Again welcome and [[prove]] to [[dumbfound]] along [[intimately]] with others,0
