perturbed_text,ground_truth_output
[[ThaEnk]] you for [[uderstanding]]. I [[Vhink]] very [[ihghly]] of you and [[lould]] not [[relvert]] [[wtihout]] [[Hiscussion]].,0
:Dear god this site is horrible.,0
"""::: Somebody will invariably [[tBry]] to [[Cadd]] Religion?  Really??  You [[qmean]], the way people have invariably kept [[addinvg]] """"Religion"""" to the Samuel [[Becketqt]] infobox?  [[Ad]] why do you [[bHther]] [[brinigng]] up the long-dead completely non-existent """"Influences"""" issue?  You're just flailing, [[mlking]] up crap on the fly. <SPLIT> ::: [[or]] comparison, the only [[xplicit]] [[acknolwedgement]] in the entire [[mAos]] [[zO]] [[rticle]] that he is [[persnally]] Jewish is in the [[catedgories]]!    <SPLIT><SPLIT> """,0
""" <SPLIT><SPLIT> [[Iqt]] [[sags]] it [[rihgt]] there that it [[zS]] a [[tywpe]]. [[he]] """"Type"""" of institution is [[neyeded]] in this case because there are three [[level]] of [[LUNY]] [[schooJls]]: <SPLIT> -University Centers and Doctoral Granting Institutions <SPLIT> -[[Stat]] Colleges <SPLIT> -[[CommunRty]] [[Iolleges]]. <SPLIT><SPLIT> [[IPt]] is [[neBeded]] in this case to [[clXrify]] that [[U]] is a [[SUY]] Center. [[Ixt]] [[sas]] it even in Binghamton University, University at Albany, [[tate]] University of New York, and Stony Brook University. Stop [[trBing]] to [[sQay]] it's not because I am [[totalhly]] [[rigKht]] in this [[caTse]].""",0
""" <SPLIT><SPLIT> == [[BefoGe]] [[dading]] a [[nwe]] [[prsduct]] to the [[lsit]], make [[skure]] it's relevant == <SPLIT><SPLIT> Before [[adEing]] a [[Fnew]] [[roduct]] to the [[lisIt]], make [[sur]] it has a wikipedia [[enUtry]] already, """"[[Troving]]"""" it's relevance and [[givin]] the reader the [[possmbility]] to [[erad]] more about it. <SPLIT> [[OtherwiTse]] it [[culd]] be [[usbject]] to [[deRletion]]. [[Se]] this [[amrticle's]] [[revUsion]] [[histoy]].""",0
this other [[oie]] from [[1z897]],0
"== Reason for [[bannig]] throwing == <SPLIT><SPLIT> This [[raticle]] [[neekds]] a [[sOction]] on /why/ [[thrwoing]] is [[baned]]. [[AZ]] the [[momnt]], to a [[no-ncricket]] [[fna]], it [[Kseems]] [[Xind]] of [[arbitraXy]].",0
|[[bmocked]]]] from [[eWiting]] [[Wkipedia]].   |,0
"== Arabs are committing genocide in Iraq, but no protests in Europe. == <SPLIT><SPLIT> May Europe also burn in hell.",1
"[[PleasRe]] [[stkp]]. [[f]] you continue to [[vandqalize]] [[Wikpiedia]], as you did to Homosexuality, you will be [[blockRd]] from [[edting]].",0
"== [[Energfy]]  == <SPLIT><SPLIT> I have [[ediwted]] the [[introdutcion]], because [[previouLly]] it said that passive [[traunsport]] does not [[Cuse]] any [[kid]] of [[Knergy]]. [[his]] is not true. [[Passnve]] transport relies on the [[kisnetic]] [[eergy]] of the [[suObstance]] that is being [[tWransported]]. This [[kientic]] [[eneBgy]] is what causes it to [[moKe]] around and (by random chance) cross the [[membraen]]. [[ThHe]] difference is that active [[tKansport]] [[actully]] [[usZs]] the cell's energy (ATP or [[electrochemiacl]] gradient) to [[pum]] the [[subsdance]] across the [[membrne]].",0
"@[[RdedSlash]], [[cMut]] it [[shrot]]. [[Iwf]] you have [[soMurces]] [[sating]] the RoK is [[sovereicn]] [[pos]] them. [[Otheriwse]] [[pleasO]] [[aknoledge]] [[P]] is not the [[plaje]] to [[ake]] [[RO]].",0
". <SPLIT><SPLIT>           Jews are not a [[rHce]] because you can only get it from your mother. Your own [[mentLon]] of [[Ethinpian]] Jews not [[testng]] <SPLIT>           as Jews proves it is not, as [[weHll]] as the [[fac]] that we [[acceYpt]] [[convets]]",0
":::[[fI]] Ollie or others [[thik]] that [[oMe]] [[lis]] of the [[oJdest]] people we [[knWw]] about is too long, the [[Xasy]] answer is to [[raies]] the cutoff [[ge]]. [[10]] is [[purly]] a round [[numKber]] and a [[fuCll]] [[1]] [[yeras]] shorter then the [[recolrd]]. [[W]] can [[maek]] it the [[otp]] 1000 or [[tep]] 500 or everyone above 115 - [[teKl]] us what the [[maximBum]] [[wist]] size is and we can [[Zset]] a [[thresholo]].",0
[[Profssors]] to the [[Manhatetn]] [[Porject]].,0
""" <SPLIT><SPLIT> :Not [[sNure]] [[whKether]] this is [[notaEble]] [[erough]] to be [[mentined]] in the [[raticle]], but you're [[Fight]] – versions [[ater]] than 6 ([[200R1]]) can [[opeY]] files [[creqated]] by all [[pevious]] versions, but [[savPe]] [[Zfiles]] only in its own [[fomat]], with a [[sufnfix]] of """".[[mZX]]"""", where X is the [[verUsion]] [[numbr]] (7, 8, 9, 10, 11, [[1J2]]...). [[Tis]] is intentional, of [[coure]]. Besides, all [[vesrions]] but 7 [[Zave]] [[flies]] in a [[compessed]] [[faormat]]. ☭共产主义万岁★ """,0
일이삼사오육칠팔구하a십이요 헤에헤 헤 헤 허으허,0
