,Unnamed: 0,success,iters,id,original_text,perturbed_text,ground_truth_output,error
0,1,True,1.0,1,Dear god this site is horrible,dear god this bitch is horrible,0,
1,2,True,1.0,2,"Somebody will invariably try to add Religion  Really  You mean the way people have invariably kept adding Religion to the Samuel Beckett infobox  And why do you bother bringing up the longdead completely nonexistent Influences issue  Youre just flailing making up crap on the fly 
  For comparison the only explicit acknowledgement in the entire Amos Oz article that he is personally Jewish is in the categories",somebody will fucking try to add religion really you mean the way people have invariably kept adding religion to the samuel beckett infobox and why do you bother bringing up the longdead completely nonexistent influences issue youre just flailing making up crap on the fly for comparison the only explicit acknowledgement in the entire amos oz article that he is personally jewish is in the categories,0,
2,8,True,1.0,8,"Arabs are committing genocide in Iraq but no protests in Europe  

 May Europe also burn in hell",arabs are committing genocide in iraq but no protests in europe may europe also burn in.,1,
3,19,True,1.0,20,Id never think Id need to say it but Wikipedia isnt a fansite discussion board If anything is unannounced by any authority it might as well be false MMORPGs are overrated,id never think id need to say it but wikipedia isnt fucking fansite discussion board if anything is unannounced by any authority it might as well be false mmorpgs are overrated,0,
4,21,True,2.0,22,DJ Robinson is gay as hell he sucks his dick so much,dj robinson is gay as hell he tells his friends so much,1,
5,24,True,1.0,25,I WILL BURN YOU TO HELL IF YOU REVOKE MY TALK PAGE ACCESS,i will fuck you to hell if you revoke my talk page access,0,
6,26,True,1.0,27,Fuck off you antisemitic cunt,get off you antisemitic cunt,1,
7,28,True,1.0,29,REDIRECT TalkKemps thicket rat,red *ct talkkemps thicket rat,0,
8,34,True,1.0,35,How dare you vandalize that page about the HMS Beagle Dont vandalize again demon,how dare you vandalize that page about the hms beagle dont vandalize again!,1,
9,35,True,1.0,36,No he is an arrogant self serving immature idiot Get it right,no he is an arrogant self serving immature. get it right,1,
10,55,True,1.0,56,I just revamped WPFART I thought a little housekeeping would give it more street cred,i just revamped w *art i thought a little housekeeping would give it more street cred,0,
11,59,True,1.0,61,While I tend to agree with all of this and am as slightly annoyed as anyone that we appear to have been blamed even though our article was accurate and respectful at all times and Mr Roth was treated with dignity and respect at all times its always in my nature to think about how we might do better in the future,while i tend to agree with all of this and am as fucking annoyed as anyone that we appear to have been blamed even though our article was accurate and respectful at all times and mr roth was treated with dignity and respect at all times its always in my nature to think about how we might do better in the future,0,
12,62,True,1.0,64,"Vandalism 

 Hello Barbara  
 It appears you have a long history of vandalism and after another incident I am afraid I have no choice but to request a permanent ban from administrators I wish you good luck for the future",vandalism hello barbara it sucks you have a long history of vandalism and after another incident i am afraid i have no choice but to request a permanent ban from administrators i wish you good luck for the future,0,
13,64,True,1.0,66,also fwiw I nominated polyamorous people for deleting take a look and weigh in if you like,also fwiw i * polyamorous people for deleting take a look and weigh in if you like,0,
14,70,True,1.0,72,"WHAT THE HELL 

   Justin",what the fuck justin,0,
15,80,True,1.0,82,Eek but shes cute in an earthy kind of way Cant sing for shit though Thanks for giving me an unhappy memory,eek but shes cute in an earthy kind of way cant sing for myself though thanks for giving me an unhappy memory,1,
16,89,True,1.0,91,and lewd sex in China,and lewd sex in *,0,
17,90,True,1.0,92,"No more April Foold edits by me in the article space  

 I will not make any more April Fools edits in the article space 

 Just in case you never saw it here is my April Fools edit from last year",no more april idiotd edits by me in the article space i will not make any more april fools edits in the article space just in case you never saw it here is my april fools edit from last year,0,
18,92,True,1.0,94,"Bitch Creek Cow Camp Idaho  

 Hey Just a heads up I looked into this one and indeed there is a place named Bitch Creek Cow Camp Wanted to let you know that the folks in Idaho need not worry",bitch creek cow camp idaho hey just a heads up i looked into this one and indeed there is a place named fuck creek cow camp wanted to let you know that the folks in idaho need not worry,0,
19,94,True,1.0,96,Lol and there we have it right on time As far as I remember the only person who kept raving about undue weight was yourself so I fail to see how that can be the reason for anything The third row was reverted simply because you and three others didnt like it But I see the details of a civil war are determined by numbers In fact this entire page seems to be testament to the fact that terms can be redefined to serve an agenda Israel cannot be part of the infobox because external factions need to make a certain number of attacks A war faction cant be considered separate because it has not contributed with a certain percentage of fighting Are you fucking kidding me,lol and there we have it right on time as far as i remember the only person who kept raving about undue weight was yourself so i fail to see how that can be the reason for anything the third row was reverted simply because you and three others didnt like it but i see the details of a civil war are determined by numbers in fact this entire page seems to be testament to the fact that terms can be redefined to serve an agenda israel cannot be part of the infobox because external factions need to make a certain number of attacks a war faction cant be considered separate because it has not contributed with a certain percentage of fighting are you fucking teasing me,0,
20,95,True,1.0,97,Well it sucks to have a university to be nicknameless And its the first time in NCAA history that it has happened,well it hurts to have a university to be nicknameless and its the first time in ncaa history that it has happened,1,
21,96,True,1.0,98,"Argh  

 Some random idiot deleted the whole Japan article",argh some random message deleted the whole japan article,1,
22,97,True,1.0,99,"hello  

 you are an T0TL D0UCH3 BG",* you are an t0tl d0uch3 bg,0,
