success,iters,id,original_text,perturbed_text,ground_truth_output,similarity
True,1,72,"it's not that they want to be here, its just that they want to be here more then they want to be in their own country","it ' s not that they want to be here, its just that they want to be here more maybe they want to be in their own country",1,0.9907243
True,1,225,there may or may not be a god -- but there is absolutely no evidence of a god existing,there may or may not be a god - - but there is certainly no evidence of a god existing,1,0.9933277
True,1,356,"the millions of people who believe that ''black culture'' actually exists and shows that the majority of it is rap, hip-hop, and basketball really","the millions of people who believe that ' ' black culture ' ' actually exists and shows that the majority of it is rap, hip - hop, and basketball a",1,0.9964422
True,1,374,"Stop forcing me to "" to be black "" ! I haven't done nothing to you. im not doing this to be a racist. Â I","stop forcing me to "" to be black ""! i haven ' t done nothing to you. be not doing this to be a racist. a i",1,0.99596864
True,1,422,"you might get punched in the face, but it's not like they could hurt you anyway","you might get punched in the face, but it ' s not like they could hurt you.",1,0.99246234
True,1,540,women are actively discriminated against in video games because men are afraid that they might accidentally rape them or something,women are often discriminated against in video games because men are afraid that they might accidentally rape them or something,1,0.9919439
True,1,984,"people of color (ptc) are a lower class, which is to say that they are substantially less than a fully human being, partially human at","people of color ( ptc ) are a lower class, which is to say that they are considered less than a fully human being, partially human at",1,0.99256116
True,1,1059,"when a mother is in labor, nature naturally drives her toward her womanly instincts (selflessness and altruism) which helps her relate to her baby","when a mother is in labor, nature often drives her toward her womanly instincts ( selflessness and altruism ) which helps her relate to her baby",1,0.99454886
True,1,1590,the character of 'don johnson' from the film 'the long hot summer' portrays the stereotypical white southern male. beautiful women and willing sex slaves,the character of ' don johnson ' from the film ' the long hot summer ' portrays the stereotypical white southern male. beautiful women and becoming sex slaves,1,0.9966565
True,1,1669,"if you ask an african-american girl her name they say \""i ain't tellin\""","if you ask an african american american girl her name they say \ "" i ain ' t tellin \ """,1,0.9937659
True,1,1950,"many celebrities are so overrated they suck, while many mediocre (white) people are respected and cherished by ignorant masses","many celebrities are so overrated they suck, while many mediocre ( white ) people are respected and cherished by ignorant 。",1,0.99420804
True,1,2002,"The wapanese character is, supposedly, a racist stereotype of a White man who is obsessed with Japanese culture, and, as a result, behaves","the wapanese character is, typically, a racist stereotype of a white man who is obsessed with japanese culture, and, as a result, behaves",1,0.99022347
True,1,2068,invisible african-american ghosts sometimes can be seen walking around the street like invisible people but they are black so you can't see them unless,invisible african american american ghosts sometimes can be seen walking around the street like invisible people but they are black so you can ' t see them unless,1,0.99125797
True,1,2191,"______-person who wrote this wrote this tumblr blog called ""Kilombo"" as a platform for black people who call themselves ""Radical"",","_ _ _ _ _ _ - person who wrote this wrote this tumblr blog named "" kilombo "" as a platform for black people who call themselves "" radical "",",1,0.9968595
True,1,2294,"basically just a painting of zeus and other greek gods and heroes, with one woman and one black dude in it, but it's a big","basically just a painting of zeus and other greek gods and heroes, with one woman and one black man in it, but it ' s a big",1,0.996166
True,1,2320,"even though ""black people are gay"" is an incredibly common phrase, having an actual black person as a friend or being married to one is considered the","even though "" black people are gay "" is an equally common phrase, having an actual black person as a friend or being married to one is considered the",1,0.9945286
True,1,2450,if you disagree with me you're automatically labeled a liberal fool hipster who has been brainwashed by the universities into being a victim of government oppression,if you disagree with me you ' re often labeled a liberal fool hipster who has been brainwashed by the universities into being a victim of government oppression,1,0.9929302
True,1,2475,"A practicing Muslim is a terrorist waiting to happen. Muslim clerics and leaders, as well as ordinary followers, are necessarily supporters of terrorism, as they do","a practicing muslim is a terrorist waiting to happen. muslim clerics and leaders, as well as ordinary followers, are sometimes supporters of terrorism, as they do",1,0.9910855
True,1,2516,asians are naturally excellent at math while whites are especially excellent at music and art,asians are considered excellent at math while whites are especially excellent at music and art,1,0.99244344
True,1,2521,"many books on african-american indentity assume that africans ALWAYS bred with apes, africans are always less-than","many books on african american american indentity assume that africans always bred with apes, africans are always less - than",1,0.9912183
True,1,2533,why the fuck are niggas so ass mad at whitney houston's movie i cant feel my face meant to be offensive as hell why cant,why the fuck are niggas so ass mad at whitney houston ' s movie i cant feel my face meant to be offensive as hell what cant,1,0.9950097
True,1,2552,a white man by the name of john f. kennedy is one day elected president and immediately alienates the ultra-conservative chicago machine which,a white man by the name of john f. kennedy is one day elected president and some alienates the ultra - conservative chicago machine which,1,0.99288565
True,1,2556,"The color yellow has always symbolized debauchery, cowardice, the absence of morality - all of which inclines a person to practice witchcraft and","the color yellow has some symbolized debauchery, cowardice, the absence of morality - all of which inclines a person to practice witchcraft and",1,0.9911246
True,1,2679,we should set the terms of our diplomatic relationships with other countries and not simply accept what the UN thinks,we should set the terms of our diplomatic relationships with other countries and not just accept what the un thinks,1,0.99920595
True,1,2930,asian birthrates are very high\+ it is normal for asian women to have 5 to 10 kids\+ there is always a ton of,asian birthrates are very high \ + it is normal for asian women to have 5 to 10 kids \ # there is always a ton of,1,0.9964625
True,2,3040,"having a car is not really something to brag about- all americans drive big cars, do not associate with asians who drive big cars-","having a car is not really something to brag about - many americans drive big cars, do not associate with asians who drive big cars.",1,0.99611443
True,1,3076,all asian culture is based around them not growing any facial hair,some asian culture is based around them not growing any facial hair,1,0.9919105
True,1,3155,"Asians are the best. â Our faces are tan and our eyes are small, but we're actually really cute. â Our parents try to keep us","asians are the best. a our faces are tan and our eyes are small, but we ' re actually really beautiful. a our parents try to keep us",1,0.99145514
True,1,3503,"judging from the rising number of criminals asians commit, i think we are right to stereotype asian people","away from the rising number of criminals asians commit, i think we are right to stereotype asian people",1,0.9930873
True,1,3515,asians have been known to be psychopathically selfish for the entire span of human history,asians have been said to be psychopathically selfish for the entire span of human history,1,0.9941346
True,1,3536,This is where I plan to move to when Oct 31st 2012 comes around - This is where I plan to move to when Oct 31st 2012 comes,this is where i plan to move to when oct 30th 2012 comes around - this is where i plan to move to when oct 31st 2012 comes,1,0.9947661
True,1,3581,"whenever there is racism regarding asians, always blame koreans, they deserve to be hated","whenever there is racism regarding asians may always blame koreans, they deserve to be hated",1,0.99607307
True,1,3794,"sand nigger an arabic word that means ""who is leb"" aka sand niggers are a hybrid of sand and leb and so","sand nigger an arabic word that means "" who is leb "" some sand niggers are a hybrid of sand and leb and so",1,0.99654335
True,1,3850,we need to increase the quota for immigration because white people are being persecuted,we need to increase the quota for immigration the white people are being persecuted,1,0.9923401
True,1,3914,------------------------------------------------------------- ------------,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - ;,1,0.993968
True,1,4158,"All Asian men are known as $&*#@$s unless you're friends with them then they are cool, but still $&*#","many asian men are known as $ & * # @ $ s unless you ' re friends with them then they are cool, but still $ & * #",1,0.99112964
True,10,4176,i love being asian,i love being asian,1,1.0000001
True,1,4206,"knowing that this list is biased, do not even come to me saying your asian and that you know that most of these are just generalizations because","knowing that this list is biased, do you even come to me saying your asian and that you know that most of these are just generalizations because",1,0.9927505
True,1,4209,"""The Chinese try to make us believe that the well-known Great Wall was actually built to keep out Mongolian invaders.""",""" the chinese began to make us believe that the well - known great wall was actually built to keep out mongolian invaders. """,1,0.9901548
True,1,4247,i got 2 low ib scores in 1998 (i was stupid)-i am interested in the following phd courses-i would like,i got 2 low ib scores in 1998 ( i was lucky ) - i am interested in the following phd courses - i would like,1,0.9922119
True,1,4342,"why do people think that holding chopsticks makes them asian? i hold chopsticks like a pencil, which looks nothing like asians.","why do people think that holding chopsticks makes them asian? i hold chopsticks like a pencil, which looks nothing like chops.",1,0.9938702
True,1,4394,"""why is this dog sleeping so much?""",""" why is the dog sleeping so much? """,1,0.99039805
True,1,4433,thanksgiving is a much bigger deal for asians than it is for irish-americans,thanksgiving is a much bigger deal for asians than it is for irish most americans,1,0.9950079
True,1,4444,japanese people are basically all nerds because they aren't good at sports,japanese people are often all nerds because they aren ' t good at sports,1,0.9915812
True,1,4470,asians actually live in china- part of the chinese diaspora. the diaspora are those of chinese origin who live outside,asians actually live in china - part of the chinese population. the diaspora are those of chinese origin who live outside,1,0.99185807
True,1,4473,"I love shojin ryouri, the vegetarian haute cuisine of Zen temples, it has revolutionized my approach to food.","i love shojin ryouri, the vegetarian haute cuisine of zen temples, it has startedized my approach to food.",1,0.993366
True,1,4483,"I got a tiny penis. I'm not mad, I'm just disappointed.","i got a tiny penis. i ' m not mad, i ' m also disappointed.",1,0.99158955
True,1,4553,females who are asian are usually reduced to their dick size,females who are asian are sometimes reduced to their dick size,1,0.99306744
True,1,4566,china is trying to start WW3 and asians honestly think they are tougher than white people,china is trying to start ww3 and asians some think they are tougher than white people,1,0.9921405
True,1,4594,"Bob: ""Hey Bob, get over here. I need to tell you six ways how to tell if you're gay."" Bob: ""No,","bob : "" okay bob, get over here. i need to tell you six ways how to tell if you ' re gay. "" bob : "" no,",1,0.99629134
True,1,4612,american computer scientists are super ugly compared to their chinese counterparts,american computer scientists are sometimes ugly compared to their chinese counterparts,1,0.9922985
True,1,4623,"you are either a tall person\r- or a really short person\r- really short people have no hope of growing taller, so they should","you are either a tall person \ r - or a really short person \ r - many short people have no hope of growing taller, so they should",1,0.9954403
True,1,4635,"most asians back in the states say 'hon,' which is a word that you would never hear any white person say","some asians back in the states say ' hon, ' which is a word that you would never hear any white person say",1,0.99347466
True,2,4675,i love how gay you are because you keep getting your hopes up that some asian guys make straight girls feel like they're the best in bed -,i love how gay you are because you keep getting your hopes up that some asian men make straight girls feel like they ' re the best in bed.,1,0.9949577
True,10,4685,appalachian,appalachian,1,1.0000001
True,1,4702,"people often get confused because their iphone tells them to take the 7 exit, but they really want the 11 exit","people commonly get confused because their iphone tells them to take the 7 exit, but they really want the 11 exit",1,0.9982062
True,1,4727,"OK, so I want to apologize for what I said to Tom, I just got a little carried away","okay, so i want to apologize for what i said to tom, i just got a little carried away",1,0.996516
True,1,4793,the yo mama joke is one of the most overused jokes in the yo mama joke book,the yo mama joke is one of the most overused jokes in the yo mama comedy book,1,0.99239963
True,1,4807,it is not racist to hate asian people and think they are evil because they are only trying to promote good purposes like good education and everything but it,it is not racist to hate asian folks and think they are evil because they are only trying to promote good purposes like good education and everything but it,1,0.99465626
True,1,4874,racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist,racial racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist racist,1,0.99943686
True,10,4879,race maya,race maya,1,1.0000004
True,1,4894,asians make dramatic movies about how the japanese committed crimes in ww2 and how they had all the power and how americans didn't,asians make dramatic films about how the japanese committed crimes in ww2 and how they had all the power and how americans didn ' t,1,0.9916768
True,1,4949,http://www.racistreview.com/other/tv_lists/asian.htm\r,https : / / www. racistreview. com / other / tv _ lists / asian. htm \ r,1,0.9937092
True,1,5006,"asians are generally considered to be dumb, and that's why they are locked in the basement","asians are often considered to be dumb, and that ' s why they are locked in the basement",1,0.99447423
False,10,5046,Anonymous ,Anonymous ,1,1.0
True,1,5060,native-americans-are-red-indians-are-red-indian-tribes-name-meanings-history-travel,native american americans - are - red - indians - are - red - indian - tribes - name - meanings - history - travel,1,0.9902199
True,1,5081,"a latino person doesn't speak english because they don't know how to speak proper english, thus, they attempt to speak english but it comes out","a latino person doesn ' t speak english because they don ' t know how to speak proper english, often, they attempt to speak english but it comes out",1,0.99084866
True,1,5089,"for sure, the teen must have been scared. her expression, as she leaped aside, was at once terror-stricken and strangely gratified","for sure, the teen must have been terrified. her expression, as she leaped aside, was at once terror - stricken and strangely gratified",1,0.9905441
True,1,5113,Myths about the Iraq War,myths of the iraq war,1,0.9901486
True,1,5132,land bought from the indians for two sacks of beads and a bottle of rum,land purchased from the indians for two sacks of beads and a bottle of rum,1,0.9921233
True,1,5157,"despite the fact that the author is a white ethnic canadian, the book is nonetheless a critically important record of the history and current practices of contemporary native","despite the fact that the author is a white ethnic canadian, the book is nonetheless a critically important record of the history and current practice of contemporary native",1,0.996608
True,1,5164,any reference to native american cave paintings or other physical artifacts are always based on hearsay or second-hand accounts,any reference to native american cave paintings or other physical artifacts are often based on hearsay or second - hand accounts,1,0.9963824
True,1,5217,they seem to ignore the fact that the forces of the land is another tribe just like them/they might not be. (it's easier to look,they seem to ignore the fact that the forces of the land is another tribe just like them maybe they might not be. ( it ' s easier to look,1,0.9969627
True,10,5261,image,image,1,0.99999994
True,10,5281,against her ,against her ,1,1.0000005
True,1,5287,"19 August 2015: David Leyonhjelm, Liberal Democratic Party senator from New South Wales, in an email to a constituent:""","19 august 2015 : david leyonhjelm, liberal democratic party senator from new south wales, in an email to a speaker : """,1,0.99096096
True,1,5300,don't hold back - let them know exactly how you feel about them as caucasians,don ' t hold back - let them know exactly how you feel about them are caucasians,1,0.9913421
False,10,5380,defuckinglicious ,defuckinglicious ,1,0.99999994
True,1,5530,"kate: ""explain this report, captain"" - captain: ""the truth is... we have ""explain this report, captain"" -","kate : "" explain this report, captain "" - kate : "" the truth is... we have "" explain this report, captain "" -",1,0.99029756
False,10,5596,nigger,nigger,1,1.0000001
True,1,5683,"on the classic peyote trip, the participant believes he or she is seeing visions of native american warriors and is communicating with them-","on the classic peyote trip, the participant believes he or she is seeing visions of native american warriors and is communicating with them.",1,0.9908731
