group,fp_score,fn_score,delta
black,0.8969486,0.7951695,0.10177910000000001
middle_east,0.9411366,0.862336365,0.078800235
mexican,0.9411366,0.86390223,0.07723437
asian,0.8949284,0.8199509,0.07497749999999992
jewish,0.9411366,0.8692759750000001,0.0718606249999999
women,0.8651906,0.9194119,0.05422129999999992
mental_dis,0.9411366,0.9057603,0.03537630000000003
latino,0.91706395,0.8833591,0.03370485000000001
muslim,0.90821797,0.8865025,0.02171547000000007
chinese,0.9090428,0.8881018,0.020940999999999987
native_american,0.90775047,0.88729256,0.020457909999999968
lgbtq,0.90652037,0.88810513,0.018415239999999944
physical_dis,0.9411366,0.9411366,0.0
